id	source with headwords	gender labels of headwords
56	More than half of [[them]] were female.	Female
57	The [[Wehrmacht]] used them as [[troop]] transports (Kfz.	Amb,Amb
58	Constable [[Hanks]] obtained corroborating statements from [[Wright]] and [[Thickbroom]] and, armed with these, a confession from [[Newlove]].	Amb,Amb,Amb,Amb
59	In 2005, [[Angel]] played herself in the season-two episode of Entourage entitled I Love You Too.	Female
60	[[Henry VI]] began to take notice of his [[half-brothers]] by that point.	Male,Male
61	Besides the problem of competing with himself, [[Nilsson]] was by then ignoring most of [[Perry's]] production advice and his decision to give free rein to his bawdiness and bluntness on this release alienated some of his earlier, more conservative [[fan]] base.	Male,Amb,Amb
62	Since 2014 [[he]] is Associate [[editor]] of Communications in Mathematical Physics.	Male,Male
63	Very little is known of the life of this [[saint]].	Amb
64	She is the Eugene Higgins [[Professor]] of Astronomy at Princeton University.	Female
65	A first therapy approach was suggested by the observation that the [[patient]] calmed down and her speech disorder improved whenever she was asked to tell stories that had presumably arisen from her daydreams.	Female
66	While an undergraduate [[student]] at George Washington University (A.B. 1920, M.S. 1921), she worked for the War Department and became Aide in the Division of Herpetology at the United States National Museum.	Female
67	Since 2006 [[she]] is the [[editor]] of the Archivio storico per la Calabria e la Lucania, founded in 1931 by [[Paolo Orsi]] and [[Umberto Zanotti Bianco]], on behalf of the Associazione Nazionale per gli Interessi del Mezzogiorno d'Italia.	Female,Female,Amb,Amb
68	As a [[student]] in the Mohammed V University of Rabat, [[he]] gravitated towards Sahrawi nationalism, and became one of the founding [[members]] of the Polisario Front, a Sahrawi independence movement in Western Sahara with strong Arab socialist ideas which launched a few attacks against Spanish colonialism in the Spanish Sahara in 1973.	Male,Male,Amb
69	[[John I]], Lord of Werle-Parchim (c. 1245 – 15 October 1283), was from 1277 to 1281 to Lord of Werle and from 1281 to 1283 and to Lord of Werle-Parchim.	Male
70	The building incorporated booking offices as well as the company offices of the GER, including [[chairman]][['s]], [[board]], [[committee]], [[secretary]] and [[engineers']] rooms.	Amb,Male,Amb,Amb,Amb,Amb
71	[[Females]] reach sexual maturity at between 6 and 12 years, and [[males]] between 7 and 11 years.	Female,Male
72	[[Johann]] was succeeded by Counts [[Otto I]], his son [[Otto II]], and [[Frederick II]], who later became an Elector, and moved to Heidelberg.	Male,Male,Male,Male
73	As [[head]] of the mint beginning in 1316, [[he]] collected its earlier records and created a register of all the coins struck in Florence.	Male,Male
74	As [[officer]], [[he]] led at least three expeditions.	Male,Male
75	This transparency is also very important for the [[unions]], for how can a union [[official]] who has to represent his [[members]] in a private [[company]] compete with a union official who has to represent his members in the postal service?	Amb,Male,Amb,Amb
76	Mr [[President]], [[Commissioner]], [[rapporteur]], congratulations on your report.	Male,Amb,Amb
77	It is regrettable that [[we]] are not sending our highest [[official]] to attend that conference on behalf of the [[Community]].	Amb,Amb,Amb
78	The [[committee]] is aware that the decree of the [[Prime Minister]] of the French Republic, of which Mr [[Le Pen]] was notified on 5 April 2000, and which was published in the Official Journal of the French Republic on 22 April 2000, has become enforceable.	Amb,Amb,Male
79	[[Madam President]], [[I]] am sorry I need to ask to speak again, but [[we]] cannot vote on anything at all here today, because we have clear and proper procedures.	Female,Amb,Amb
80	Any [[child]] who is failing is expressing his unease in the educational institution, but also in [[society]].	Male,Amb
81	However, it pained [[me]] to do so, Mr [[President]], for the issue raised by these States is right and proper, and I wonder why [[we]] are waiting to regulate the border control procedures at Europe's frontiers with a directive which would be immediately applicable throughout the European territory.	Amb,Male,Amb
82	Even as the [[Council]] sits here and - if [[I]] might say even with due deference to all the politeness of the [[Minister]] - throws the book at [[us]] and says, "There is a treaty; there is a procedure.	Amb,Amb,Amb,Amb
83	Madam [[President]], since Mr [[Barón Crespo]] has recently been so obsessed with receiving all sorts of regulations, [[I]] would also ask you to send him the regulations on the questions that [[Members]] put to the European Commission, and he should not be surprised that the answer was received by the [[person]] who asked the question.	Female,Male,Amb,Amb,Amb
84	Clearly, the most potentially controversial issue in this [[Haug]] report relates to [[Parliament' s]] support for the possibility of opening a debate on the establishment of a direct [[Community]] tax which would be a source of autonomous funding for the Community budget.	Amb,Amb,Amb
85	In this connection, Mr [[President]], [[I]] think it is worth mentioning that, even in this institution, far more zeal than usual is displayed in asking one of our German [[colleagues]] for her card. It so happens that the [[lady]] is of Kurdish descent, with a dark complexion and black eyes and therefore does not look like the average [[Member]].	Male,Amb,Female,Female,Amb
86	[[I]] also would like to sincerely thank you, Mr [[Lannoye]], for your valuable work on this in your capacity as rapporteur.	Amb,Male
87	Since the [[Commissioner]] responsible stated in her answer to my question H-0675/00 in September 2000 that the responsible Greek [[authorities]] had given a commitment to speed up the restructuring of public services, the employment agencies and the statistical services, and given that the restructuring is due to be completed by the end of 2001, can the [[Commission]] say what the reasons are for the delay and [[who]] is responsible for it?	Female,Amb,Amb,Amb
88	Report (A5-0009/2002) by Mrs [[Hermange]], on behalf of the [[Committee]] on Employment and Social Affairs, on illiteracy and social exclusion [2001/2340(INI)]	Female,Amb
89	During the recent hearing organised by the Group of the European People's Party (Christian Democrats) and European Democrats on television without frontiers, a [[reporter]] noted that television is exacerbating the commercialisation of sport and the concentration of advertising resources.	Amb
90	[[I]] would also ask the [[Commission]] to investigate the possibilities of [[adult]] education in the sector and whether a general diploma might also be required to move on to the next stages of the technology.	Amb,Amb,Amb
91	There are three possible explanations: either the [[Commission]] gave OLAF’s [[director]] completely fatuous instructions, with the result that he did not keep the Commission informed; or the Commission wished to leave unpleasant matters on the back burner for years in a secretive OLAF; or OLAF’s [[management]] is appallingly naive and does not understand the political necessity of sounding the alarm bells so that the Commission is warned of serious fraud.	Amb,Male,Amb
92	[[They]] had the sense, the decency and the foresight and, [[I]] suppose, the resources to treat a disabled [[person]] as a real person.	Amb,Amb,Amb
93	Mr [[President]], Mrs [[Schierhuber]] asked when the proposals may be expected.	Male,Female
94	They are fantastic, courageous [[people]] who wish to adopt a peaceful route to establishing human dignity and democracy for themselves and their fellow [[countrymen]].	Amb,Male
95	My [[colleague]] was also tried and fined as a result.	Amb
96	It is true that Poland is home to five million [[families]] who have to survive on the equivalent of EUR 2.5 per [[person]] per day, but EUR 2.5 in Poland is significantly more than EUR 2.5 in the poorest countries of the world.	Amb,Amb
97	As Mr [[Michel]] has said, it is clear that free elections must be held in Lebanon without any type of pressure, and we in our political [[group]] are pleased with the [[Commissioner’s]] comments to the effect that a technical mission is going to be sent to Lebanon with a view to preparing a European Union mission of electoral [[observers]].	Male,Amb,Amb,Amb
98	With that contribution, he gives [[us]] evidence that he is an [[expert]] on political folly.	Amb,Male
99	For example, Mr [[McCreevy]] declared at a conference in London that it must never be forgotten that the single market is far and away the project that goes furthest in terms of deregulating the European Union.	Male
100	– The next item is the report (A6-0318/2005) by Mrs [[Martens]], on behalf of the [[Committee]] on Development, on a development strategy for Africa [2005/2142(INI)].	Female,Amb
101	In contrast to preceding years, there was also scarcely any reduction in unemployment, and so [[I]] call on the [[Commission]] to commission, as soon as possible, a study examining [[worker]] migration and all the effects associated with it, and doing so in a value-free way.	Amb,Amb,Amb
102	Mr [[President]], [[ladies]] and [[gentlemen]], [[I]] would like to thank you – and Mrs [[Niebler]] in particular – most warmly for this debate, and also say how appreciative I am of the participation in it of so many [[men]], that is to say, of your House’s male [[Members]].	Male,Female,Male,Amb,Female,Male,Male
103	Some of the Members who have spoken - Mrs [[Angelilli]] and Mrs [[Morgantini]] - have raised the issue of communication.	Female,Female
104	He is a good, old [[friend]] and was a colleague of [[mine]] when I used to have a real job.	Male,Amb
105	[[I]] therefore welcome the fact that the amendments [[we]] agreed on, which were the result of a broad consensus among the various [[groups]] represented in Parliament and of close collaboration between the [[rapporteur]] and the shadow [[rapporteurs]], were adopted almost unanimously by the [[committee]], with just one abstention.	Amb,Amb,Amb,Amb,Amb,Amb
106	(PT) Mr [[President]], [[I]] should like to table an amendment that has been agreed with our rapporteur, Mrs [[Kratsa-Tsagaropoulou]].	Male,Amb,Female
107	[[author]]. - (PL) Mr [[President]], the development of international humanitarian law, together with the establishment of courts to try [[perpetrators]] of war crimes and crimes against humanity represented a mayor achievement by the international [[community]] after the Second World War.	Amb,Male,Amb,Amb
108	By the same token [[I]] do not agree with the argument of the report's [[author]] that the production of bio fuels could result in an increase in food prices and that it will therefore be necessary to open the EU market to food coming from third countries.	Amb,Amb
109	[[I]] and my fellow [[Vice-Presidents]] who have responsibility for Question Time are always open to ways in which we can improve it and do better, hence the step that we have taken already of inviting [[Members]] to come to the front of the Chamber.	Amb,Amb,Amb
110	On the other hand, Germany's economy [[minister]] threatens that his country will not let the EU Commission dictate decisions in the backrooms in Brussels.	Male
111	In his explanatory statement the [[rapporteur]] argues that this limit is being introduced to prevent so-called abuse of the right of [[Members]] to ask questions.	Male,Amb
112	Mrs [[Gill]], [[I]] think that, especially since this afternoon, I am beginning to learn Rule 149 by heart. You are referring to paragraph 5.	Female,Amb
113	[[I]] also remember the [[statesmen]], the [[heads]] of state and government who were determined, convinced and courageous Europeans and who are today represented by Mr [[Valéry Giscard d'Estaing]].	Amb,Male,Male,Male
114	The [[Commission]] therefore welcomes the report by Mr [[Schröder]] and will provide a detailed reaction to the points raised in due course.	Amb,Male
115	Every day, 72 million [[children]] - mainly [[girls]] - do not go to school.	Female,Female
116	In this regard [[I]] would like to thank the [[rapporteur]] for her excellent work.	Amb,Female
117	[[I]] would like to point out that the A to G scale, which [[we]] all consider to be very successful and recognisable and to have made a huge contribution towards energy savings, obviously has problems which, Mr [[Reul]], I listed in my opening comments; in other words, this scale needs to be updated.	Amb,Amb,Male
118	[[author]]. - Madam [[President]], can I say, as a gay [[man]], I am proud that this [[House]] and [[others]] are speaking out against this proposed law.	Male,Female,Male,Amb,Amb
119	In the absence of a [[deputy]], equally double-hatted, the [[High Representative]] will more and more have to choose between staying in Brussels and being present, for instance, at the European Parliament, and flying to a foreign capital, where the EU needs equally high representation.	Amb,Amb
120	[[We]] must not forget, however, that efforts for the good of the [[child]] come first.	Amb,Amb
121	(LT) Madam [[President]], [[I]] would like to congratulate my fellow [[Member]] and thank her for her cooperation in preparing this important report.	Female,Amb,Female
122	The [[Tibetans]] are voting for a new spiritual [[leader]], as the current [[Dalai Lama]] steps down.	Amb,Male,Male
123	[[I]] have in fact tended to assume the role of my colleague Mrs [[Bjerregaard]].	Amb,Female
124	Mrs [[Marinucci]] highlights the contradiction between competitiveness and job creation.	Female
125	Much as [[I]] value the work that the [[rapporteur]] has done, there is one point on which I do not share her opinion.	Amb,Female
126	Mrs [[Green]] referred to 'a potential [[successor']] , not to the [[President-elect]].	Female,Amb,Amb
127	Last night in the House of Commons Mr [[Hogg]] said that it would be an abnegation of British sovereignty for him to give evidence to [[us]] here.	Male,Amb
128	Mrs [[Baldi]] would like to speak.	Female
129	The next item is the debate on the report (A4-0241/97) by Mr [[Virgin]], on behalf of the [[Committee]] on the Environment, Public Health and Consumer Protection, on the proposal for a Council Regulation establishing common rules and procedures to apply to shipments to certain non-OECD countries of certain types of waste (COM(94)0678 - C4-0048/97-95/0029(SYN)).	Male,Amb
130	[[I]] would like to draw your attention, Madam [[Minister]], [[Commissioner]], to certain issues included in the [[Martens]] report which the draft communication from the [[Commission]] to the [[Council]] overlooked but which [[Parliament]] would like to insist upon.	Amb,Female,Amb,Amb,Amb,Amb,Amb
131	[[Colleague]], let [[me]] interrupt you.	Amb,Amb
132	When a [[citizens]] stands as an MEP he should accept the salary on offer.	Male
133	To this end, the [[Commission]] will draw up a questionnaire and issue it to the [[groups]] concerned; it will investigate the aspects raised by the honourable [[Member]] in her question, relating to the cost-effectiveness of applying the directive.	Amb,Amb,Female
134	[[I]] should like to welcome Sir [[Leon]] and ask him to reply to Mrs [[Ferrer's]] question.	Amb,Male,Female
135	[[I]] thank the [[rapporteur]].	Amb,Amb
136	[[I]] believe that is the reason why many conflicts of the past ten to fifteen years have been pursued by force of arms rather than before a [[tribunal]] or a criminal [[court]].	Amb,Amb,Amb
137	Madam [[President]], [[I]] concur with my colleague, Mr [[Ford]], that of course if [[we]] only sat in Brussels, we would not be here debating this building.	Female,Amb,Male,Amb
138	[[I]] understand, [[Madam President]], that there was one [[speaker]] in favour of the suggestion, and another [[speaker]], who has just resumed her seat, putting forward the idea that there should be a debate on this matter at the end of this month in the second October part-session.	Amb,Female,Amb,Female
139	That is why it is really good to hear that Mrs [[Wallström]] has ambitions for the years to come.	Female
140	Mr [[President]], Mr [[Wynn]] asked [[me]] three questions, which I briefly answered.	Male,Male,Amb
141	My personal comment is that [[I]] agree with Mrs [[Theorin]] that violence against [[women]] is the greatest individual violation of women' s rights.	Amb,Female,Female
142	[[Diplomat]] pudding	Amb
143	[[Child]] and [[adolescent]] psychiatry	Amb,Amb
144	30th National Hockey League All-[[Star]] Game	Amb
145	List of number-one [[singles]] in 2001	Amb
146	Footer Olympic [[Champions]] freestyle wrestling heavyweight [[women]]	Female,Female
147	1276 [[establishments]]	Amb
148	Indian [[diaspora]]	Amb
149	VSDC Free Video [[Editor]]	Amb
150	[[Miss]] Europe 1935	Female
151	2019–20 [[Champions]] Hockey League	Amb
152	Through a mutual A&R [[friend]], producer [[RedOne]] heard about [[Black]] and was interested in meeting her.	Amb,Amb,Female
153	Two years later, while the [[family]] was living temporarily in Chicago, [[Stone]] miscarried and they lost a [[baby]] boy.	Amb,Amb,Male
154	[[Charlie]] is a senior in high school and now aware of her [[mother's]] cancer.	Female,Female
155	At the local level, especially during her tenure as [[Mayor]] of Vernier, the development of public transport and the promotion of affordable housing were among her main concerns.	Female
156	"Abschied von einer großen alten [[Dame]]".	Female
157	[[She]] is the [[founder]] of “NorEon” Creative Center which promotes the Armenian visual arts throughout the world and assists Armenian [[artists]] in their professional careers.	Female,Female,Amb
158	Until 2002 [[she]] was a German [[citizen]], but since then she has been a Norwegian citizen.	Female,Female
159	A [[doctor]] at the Minzu hospital in Nanning city said that the hospital did not currently have Falun Gong organs available, but that he had previously selected Falun Gong [[prisoners]] for organ harvesting.	Male,Amb
160	The [[spokesman]] of the Federal Statistical Office stated in this context: "The consequence of this is that the group of [[atheists]] (but also [[those]] of the other religions) can not be proven in the censorship results.	Male,Amb,Amb
161	In a parting letter, she explained that she was a [[person]] who observed no ethnic boundaries but could not tolerate the atrocities committed around her.	Female
162	The statue stands facing three [[servants]] (funerary priests) who are shown at a smaller scale.	Male
163	However, the ELM continues to carry out its own work in India as an independent [[partner]] alongside the Leipzig Mission.	Amb
164	Due to the long lay time in the sewer, only one [[victim]] could be clearly stated that he died from a "blunt force blow" on the head.	Male
165	[[He]] is also a [[member]] of Le Siècle.	Male,Male
166	This [[lady]] was an ardent covenanter and her [[husband]] was repeatedly fined for her attendance at conventicles.	Female,Male
167	During her senior year of high school [[Page]] self-released a collection of the songs recorded in her class and publicly shared them on Myspace.	Female
168	'[[He]] spoke falsely to [[me]],' he rejoined, 'stating that he would come to-day, but has not.'	Male,Male
169	Russian Business [[Leader]] of the Year 2012 award from 'Horasis' (Switzerland) — 2013; Women in Technology Awards for Middle East and Africa 2014, nomination Best [[entrepreneur]] in IT — 2014; Top 20 Women in Business in Northern Europe, according to 'Nordic Business Forum' — ranked #1 (2015).	Amb,Female
170	He is a [[lover]] of all sorts of cheeses.	Male
171	Her other major work, Malířka Na Cestách (The Painter on the Road), which was unpublished, presents 52 woodcuts and is likely an autobiography of the [[artists]] own journey.	Female
172	As a [[baby]], he was photographed by [[Diane Arbus]] for Harper's Bazaar.	Male,Amb
173	Unto [[us]] a [[child]] is born: O come, let us adore Him.	Amb,Male
174	[[Shawe-Taylor]] wrote, "Barely a quarter of an hour before, [[he]] had been playing to a [[friend]], who was staying with him, the new record of Britten's Songs from the Chinese by [[Peter Pears]] and [[Julian Bream]].	Amb,Male,Amb,Amb,Amb
175	Beginning in 1972 [[she]] was the [[editor]] of the critical edition of the works of [[Moses Mendelssohn]], comprising one-fourth of his complete works.	Female,Female,Male
176	From 2003 to 2006 [[he]] was [[director]] of the Marseille Provence Airport.	Male,Male
177	She is the [[Chief]] Medical [[Officer]] onboard the Excalibur.	Female,Female
178	In 1997, [[he]] was named the best European professional basketball [[coach]], after having coached several [[clubs]] to domestic championships and to the EuroLeague Final Four.	Male,Male,Amb
179	In 1947, [[Green]] joined [[Gene Krupa's band]] and quickly moved up to [[Woody Herman's]] third "Thundering Herd" big band in 1950 to play with his brother, [[Jack]].	Male,Amb,Amb,Male
180	China obtains the funds but sends a fellow [[employee]] because she is being tailed by one of [[Ariete's]] [[men]].	Female,Amb,Male
181	In 1967 while still a [[student]] at the Academy of Fine Arts in Warsaw, [[he]] began collaborating with director [[Jozef Patkowski]] and the Experimental Studio on sound performances.	Male,Male,Amb
182	A keen football [[fan]], he is a supporter of [[Leyton Orient]].	Male,Amb
183	The state, however, used us, female [[doctors]].	Female
184	The boiler arrangements were very successful in service, and both ships easily made their design speed of 18 knots (33.33 km/h); on trials Lord [[Nelson]] made 18.7 knots (34.6 km/h) and [[Agamemnon]] made 18.5 knots (34.25 km/h).	Male,Amb
185	In the weekly newspaper Die Zeit [[Hans-Christoph Blumenberg]] called the film "the most accessible (and thus most commercial) and mature work of the [[director]]".	Amb,Amb
186	Very little is known of the [[artist]]; he was in the service of the Doge [[Leonardo Loredan]], on whose behalf he made commemorative medals, which were probably for his inauguration in 1501.	Male,Male
187	As a freelance [[writer]], his efforts fell on music historical themes, [[Goethe]], and especially the occult.	Male,Amb
188	In despair, [[she]] is at last able to find [[Grant's]] [[victim]] and prove her innocence.	Female,Amb,Female
189	At the time, she wanted to be a [[doctor]].	Female
190	The word Ibajay was originally written with the capital letter Y. It was only in 1902 when an American supervising [[teacher]] made the change of Ybajay to Ibajay because of the preference to the English alphabet and the difficulty of the [[Americans]] in spelling the word.	Amb,Amb
191	This stage in her life guided her to transform into a rebellious, yet attentive [[teenager]].	Female
192	As a [[student]], being the soloist of [["Krynytsia]]" and "[[Excelsior]]" bands, she toured Austria, Germany and Canada.	Female,Amb,Amb
193	[[She]] was the [[head]] of the National Statistical Institute from 2008 to 2012.	Female,Female
194	In 1949, Dr. [[Wright]] joined her [[father]] at the Cancer Research Foundation at Harlem hospital.	Female,Male
195	"What [[I]] do is definitely detective work," she explains.	Female
196	After the payment of the relevant fee, an entrance examination would follow, carried out by a [[professor]], and the matriculation by the [[rector]] of the university.	Amb,Amb
197	Before [[Watt]] reported the crimes, [[Green]] had previously been honorably discharged from the [[Army]] on May 16, 2006, before the crime was recognized, with "antisocial personality disorder".	Amb,Amb,Amb
198	[[J. Nichols]] and [[son]], London, 1825.	Amb,Male
199	[[Hope]] was among the first to say yes.	Amb
200	[[Fred]] is the son of [[Scrooge's]] little sister [[Fan]].	Male,Amb,Female
201	If [[everyone]] followed this principle, [[nobody]] would trust another [[person]] when she made a promise, and the institution of promise-making would be destroyed.	Amb,Amb,Female
202	Most of the main [[characters]] are male.	Male
203	It was already so impressive in the 12th century that a legend developed to the effect that its [[founder]] had faery aid, in the guise of the water spirit [[Melusine]], who built it and its church through her arts, as a gift for her husband [[Raymondin]].	Female,Female,Male
204	The brain pan and [[pilgrim's]] bottle of the [[saint]] were also preserved.	Amb,Amb
205	At the same time his status as a [[victims]] of the Nazi Regime was revoked.	Male
206	For instance, on live television in April 2014 [[Zhirinovsky]] ordered his [[aides]] to rape a [[journalist]] who was six-months pregnant.	Male,Amb,Female
207	The [[teacher]] now begins to read the story.	Amb
208	He is a past [[winner]] of Greenland's Arctic Circle Race.	Male
209	[[She]] also competed for other promotions including Hoosier Pro Wrestling (HPW), where she won both the HPW Cruiserweight Championship and HPW Ladies' Championship, Canadian International Wrestling (CIW), where she won the CIW Indy Women[['s]] Championship, Mid–States Championship Wrestling, where she won the MCW Mid-American title, and Blue Water Championship Wrestling, where she won the BWCW Women[['s]] title.	Female,Female,Female
210	[[She]] was a [[Trustee]] of the Royal Botanic Gardens, Kew (2002–2006) and of the Tropical Health and Education Trust (2005–06).	Female,Female
211	His record as a military [[leader]] is not very impressive.	Male
212	[[We've]] tried as hard as we can to keep [[him]] within the bounds of reality.	Amb,Male
213	[[Haworthia arachnoidea]] var. arachnoidea (autonym) Haworthia arachnoidea var. aranea (A.[[Berger]])[[M.B.Bayer]] Haworthia arachnoidea var. calitzdorpensis (Breuer)Breuer Haworthia arachnoidea var. namaquensis M.B.Bayer Haworthia arachnoidea var. nigricans (Haw.)	Amb,Amb,Amb
214	[[They]] were both grandsons of [[Llywelyn ab Iorwerth]].	Male,Amb
215	[[She]] is [[head]] of the Multiple Representations Lab at the Leibniz-Institut für Wissensmedien (IWM) and full professor for Empirical Research on Learning and Instruction at the University of Tübingen, Germany.	Female,Female
216	A lifelong [[supporter]] of the Labour Party, in April 2008 she married her partner of 33 years, [[Tim Owens]], saying it was not, or not only, for tax policies introduced by the government of [[Gordon Brown]].	Female,Amb,Amb
217	It would in fact be more accurate to refer to a European Union-NAFTA agreement rather than an agreement associating the European Union with Mexico only. For this agreement, which the [[rapporteur]] herself describes as the most important one the European Union has ever signed with a third country, will not only affect our relations with Mexico but will also have implications for our relations with the North and Central American countries as a whole.	Female
218	That is why [[I]] should like to ask you this specific question, [[Commissioner]]: can you envisage - and I am referring here to Amendments Nos 27 and 28 and to my previous comments - that the [[Commission]] might, after all, consider rethinking its proposal on quotas and restructuring it?	Amb,Amb,Amb
219	The [[President]] asked for them to be removed and they were removed. [[People]] stopped smoking out there and they have now been returned.	Amb,Amb
220	The [[people]] do not therefore understand why this cannot extend to oil products.	Amb
