id	source with headwords	gender labels of headwords
15	[[We]] were forced to discover that other [[women]] had been shot, such as the highest-ranking [[police]] [[officer]].	Amb,Female,Amb,Female
16	The report broadly defines the principles reported to the European Supreme Court, which would help [[us]] to appoint the high [[representative]] and also to put a plan in place.	Amb,Amb
17	Mr [[President]], the reason for this urgency is the brutal murder of 57 [[people]], who were accompanying a [[politician]] on her way to register as a candidate in the elections for the position of provincial governor.	Male,Amb,Female
18	On Wednesday last week, [[we]] observed a one-minute silence in memory of the [[victims]] of the disaster.	Amb,Amb
19	This is the only way to improve in real terms the situation of both self-employed [[women]] and their [[spouses]] and of female life [[partners]], mainly with regard to their social and economic protection, independent of that of their spouse and partner.	Female,Amb,Female
20	The programme's target group is not only [[students]] or secondary school [[pupils]], but also [[adults]], thanks to the Grundtvig programme, and training [[staff]], for whom study visits are provided.	Amb,Amb,Amb,Amb
21	[[I]] therefore firmly believe that it is no longer appropriate in this day and age for [[us]] to hold discussions with the [[proponents]] of such views, [[Commissioner]], or to keep on trying to explain something to them.	Amb,Amb,Amb,Amb
22	As the Spanish [[Minister]] of the Environment made clear when he addressed our Parliament last year, such enormous central roadbuilding projects make no sense whatsoever, because they concentrate wealth to the detriment of the underprivileged and remote regions, since these transEuropean networks link large [[population]] centres which already enjoy a high level of development, these being the only areas in which it pays to engage in such expensive flagship projects.	Male,Amb
23	The next item is the recommendation for second reading (A4-0312/96) by Mrs [[Riis-Jørgensen]], on behalf of the [[Committee]] on the Environment, Public Health and Consumer Protection, on the common position established by the [[Council]] with a view to adopting a European Parliament and Council Directive amending Directive 95/2/EC on food additives other than colours and sweeteners (C4-473-95/0114(COD)).	Female,Amb,Amb
24	[[I]] am at one with the honourable Member, Mr [[Cushnahan]] when he raises this issue.	Amb,Male
25	However, [[I]] have some sympathy with Mr [[Virgin]].	Amb,Male
26	The [[people]] working in that factory and the [[sub-contractors]] are very aware of this difficult problem.	Amb,Amb
27	[[I]] believe that your colleague, Mrs [[Kinnock]], could answer that much better than I could.	Amb,Female
28	[[I]] should like to welcome Mr [[de Silguy]] and ask him to reply to Mr [[Sjöstedt's]] question.	Amb,Male,Male
29	Mr [[President]], [[ladies]] and [[gentlemen]], [[I]] did not quite understand the reference made by our [[colleague]] from the Green Group to Italy and the lack of transparency in the handling of Italian monetary policy; she can explain it to me later.	Male,Female,Male,Amb,Female
30	Mr [[President]], in our earlier debate on the three reports, [[I]] had the chance to state our position on the requests made in the reports by Mr [[Barros Moura]], Mr [[Roubatis]] and Mr [[Torres Couto]].	Male,Amb,Male,Male,Male
31	[[Ace]] finds herself in Albert Square in 1993 with the Sixth [[Doctor]].	Female,Amb
32	Also the purpose of using “[[bride]] wealth” system is the same like before.	Female
33	The BBC reported that during his 2005 trial, the [[singer]] again suffered from stress-related illnesses and severe weight loss.	Male
34	[[She]] told her [[brothers]] and [[cousin]], and they told the [[pirate]] and his [[wife]] that they wished to leave.	Female,Male,Amb,Male,Female
35	[[Patton]] began delivering speeches to his [[troops]] in the United Kingdom in February 1944.	Male,Amb
36	[[He]] had previously been the 56th Commanding [[General]] of the Philippine Army since February 7, 2014.	Male,Male
37	Although there was speculation that losing [[parties]] in the December 1995 election might choose not to nominate presidential [[candidates]], in fact dozens of [[citizens]] both prominent and obscure announced their candidacies.	Amb,Amb,Amb
38	One of the male [[vocalists]] had already been switched, as one of the [[group]] members had already resigned.	Male,Amb
39	[[She]] then visits the [[detective]] where he says that he's gone over her case many times and only one thing concerns him: that the dead [[assailant]] didn't have a key.	Female,Male,Amb
40	[[He]] is the first [[Finn]] to serve as a Catholic bishop for over 500 years.	Male,Male
41	[[Andronikos]] ignored the order and kept it secret from his [[officers]].	Male,Amb
42	Advertising [[agencies]] exploited the new status of [[women]], for example in publishing automobile ads in women's magazines, at a time when the vast majority of [[purchasers]] and [[drivers]] were men.	Amb,Female,Male,Male
43	[[Scientists]] think that other comets are chemically similar to Halley's Comet.	Amb
44	[[Jesus]] decides that he will put his old show back, and as punishment to his [[producer]], he sends her to Hell.	Male,Female
45	[[She]] was an executive [[producer]] of the 2009 blockbuster Avatar by director [[James Cameron]].	Female,Female,Amb
46	The [[judge]] ruled that if [[Roth]] was to publish any further statements he would be subjected to a fine of 500,000 German marks and a six-month jail sentence.	Amb,Male
47	With [[Kevin]] still away, [[Noah]] calls [[Claire]] over to help him cook.	Amb,Male,Amb
48	The addition of an entirely fictional heroic German [[officer]] to the ship's [[crew]] was intended to demonstrate the superior bravery and selflessness of German [[men]] as compared to the British [[officers]].	Amb,Amb,Male,Male
49	[[Black]] was chosen as the Democratic nominee for lieutenant governor in 1915, despite having only meager previous political experience.	Amb
50	A notable [[dancer]] by the time she was 15, she began her film career in the early 1950s with small roles in Secretaria particular (1952) and No te ofendas, Beatriz (1953).	Female
51	Another female [[witness]] who was held at Masanjia Labor Camp in 2005 said that only young, healthy [[practitioners]] had comprehensive medical exams upon arrival at the camp; the [[old]] and [[infirm]] were given only cursory treatment.	Female,Amb,Amb,Amb
52	The [[poet]] was caricatured by [[Hogarth]] for his supposed servility to [[Chandos]].	Male,Amb,Amb
53	The song is about the effects that [[Jones']] [[lover]] has on [[her]], specifically the way that he makes her world turn the wrong way whenever he is around her.	Female,Male,Female
54	During the trip, the [[protagonist]] contacts, through media (TV, cinema, advertising, etc.) with seven public [[figures]], seven archetypes, seen as the new heroes of contemporaneity.	Amb,Amb
55	[[Gary Clark]] (Michael O'Neill): Husband of a [[patient]] at Seattle Grace, his [[wife]] is treated by Dr. [[Lexie Grey]] and Dr. [[Webber]].	Male,Female,Female,Amb,Amb
56	[[Nixon]] described it in his memoirs as "a case of love at first sight"—for Nixon only, as [[Pat Ryan]] turned down the young [[lawyer]] several times before agreeing to date him.	Male,Amb,Male
57	As a [[songwriter]], [[he]] contributed a number of hits to the repertoire of these [[bands]].	Male,Male,Amb
58	[[You]] are the one who deceived [[me]] and made me eat the filth," and as he uttered these words, he sprang at the [[kangaroo]] and killed him, and ever since the kangaroo has had short forepaws.	Amb,Male,Male
59	As [[senator]], [[he]] created a tax of 20 réis on the price of tram tickets, a fact that generated great agitation in Rio de Janeiro, known as the "Revolta do Vintém", in January 1880.	Male,Male
60	[[He]] played [[Ace]] (one of the Lost [[Boys]]) in the film of 1991, Hook, receiving a Young Artist Award as part of its ensemble cast.	Male,Male,Male
61	A [[specialist]] in enterprise software, [[she]] was chief information officer and vice president of engineering at SugarCRM Inc, before succeeding [[Sue Gardner]] at the Wikimedia Foundation in 2014.	Female,Female,Amb
62	Pixar honored [[Dyer]] by providing him with a private screening of the film.	Male
63	[[White]] played minor roles for several years, when she was spotted by the Powers Film Company in New York.	Female
64	'Catch' [[Singer]] Talks [[Katy Perry]] Shout-Out, Her Pop Takeover Plan" (Interview).	Female,Female
65	Before being appointed [[governor]], [[she]] was a senior figure in the Indian National Congress and was Joint Secretary of the All India Congress Committee.	Female,Female
66	She is the only [[person]] in the Ikaruga family to wear glasses.	Female
67	As [[Stoltzfus]] remarks: "[[Hemingway]] walks the [[reader]] to the bridge that he must cross alone without the [[narrator's]] help."	Amb,Amb,Male,Amb
68	[[He]] then landed a major role in Nickelodeon's Nicky, Ricky, Dicky & Dawn as Nicky [[Harper]], for which he was nominated Favorite Male TV Star in the Nickelodeon Kids' Choice Awards in 2016 and 2017.	Male,Male
69	An [[interpreter]] of [[Handel]] ("his music could keep [[you]] going for a whole career") she has performed contemporary pieces such as [[Dominick Argento's]] From the Diary of Virginia Woolf, a partly atonal work first performed by [[Janet Baker]], an influence on [[Coote]].	Female,Male,Amb,Amb,Amb,Amb
70	On 3 March 1673, perhaps some time after [[Wright]] had painted his state picture of [[Charles]] [[II]] (now in the Royal Collection), a strange letter was sent from an obscure "[[Mairie Lady Hermistan]]" (evidently a fellow Roman Catholic) to [[Cosimo]], asking him to intercede with the [[King]] to grant Wright a baronetcy.	Male,Amb,Male,Female,Male,Male
71	"[[I]] didn't think it through and didn't anticipate the consequences," he admitted.	Male
72	[[She]] submitted a thesis for her Habilitation to qualify as an [[instructor]] at the University of Berlin, but it was not immediately accepted.	Female,Female
73	Rather than run the risk, the [[government]] entered into negotiations with [[Caroline]], and offered her an increased annuity of £50,000 if she stayed abroad.	Amb,Female
74	Apps can also use a new [[Reader]] Mode so as to act as readers for HCE cards and other NFC-based transactions.	Amb
75	[[Star]] had built up a [[fan]] base on several websites but convinced [[many]] to join him on Myspace, giving his profile a large number of [[followers]] from the beginning.	Male,Amb,Amb,Amb
76	The [[cabbie]] admits that a "[[fan]]" of [[Sherlock's]] contacted him and offered to "sponsor" his work, paying money for each murder, to be left to the cabbie's [[children]].	Male,Amb,Amb,Amb
77	The [[boys]] often act as the voice of reason when these events cause panic or incongruous behavior among the adult [[populace]], who are customarily depicted as irrational, gullible, and prone to vociferation.	Male,Amb
78	After a while, [[Holmes]] reveals that he found out that [[she]] was no longer being paid to stay as a [[companion]].	Male,Female,Female
79	At the federal level, was a [[consultant]] of the Republic, a member of the Federal Council of Education, Minister of Finance and Chairman of the Council of Ministers (July 12, 1962 to September 18, 1962) during the brief parliamentary regime that followed the inauguration of [[João Goulart]].	Male,Amb
80	Now having lost fifty pounds (twenty-three kilograms), in a chest cast, covered in grime and eyes full of fever, and with his hair turned white, in early December 1967 [[McCain]] was sent to a [[prisoner]]-of-war camp on the outskirts of Hanoi nicknamed "the Plantation".	Male,Amb
81	[[They]] begin dancing again, and [[Aguilera's]] backup [[dancers]] hold up pieces of puzzle paper that shows Aguilera's face.	Amb,Amb,Amb
82	However, [[Victoria's]] influence on her [[offspring]] had an important limitation: Like all the [[Hohenzollerns]], her [[sons]] received a military training from a very young age, and the crown princess feared that such education would undermine their values.	Female,Male,Amb,Male
83	In United States v. [[Lopez]] and United States v. [[Morrison]], the [[court]] held that [[Congress]] lacked power under the Commerce Clause to regulate non-commercial activities.	Amb,Amb,Amb,Amb
84	[[He]] was appointed the [[company's]] managing [[director]] in 2004.	Male,Amb,Male
85	[[Alzeid]] (アルゼイド, Aruzeido) Voiced by: [[Takahiro Sakurai]] Alzeid is a twenty-four-year-old albino who joins [[Rahzel]] while on his journey to get revenge on his [[father's]] [[enemy]], a woman who has black hair and blue eyes.	Amb,Amb,Male,Male,Female
86	[[LeFauve]] found the [[character]] being a female superhero to be both "wonderful" and a challenge, particularly because of how powerful the character is which could lead to the "Superman curse" of being perceived to be invulnerable.	Amb,Female
87	"What [[I]] did was drink myself to sleep at night," she said.	Female
88	Directed by [[Singer]] from a script by [[Simon Kinberg]], [[Dan Harris]] and [[Michael Dougherty]], the film was said to focus on the origin of the [[mutants]].	Amb,Amb,Amb,Amb,Amb
89	Sixteen years old at the time, [[Fox]] was reportedly given Quaaludes by a [[man]] who she thought was a roadie, and while she was incapacitated, [[Fowley]] raped her.	Female,Male,Amb
90	Also a [[poet]], [[he]] lived in a house at the foot of a hill on the slopes of which he owned two gardens and a vineyard.	Male,Male
91	On his first voyage, [[Cook]] had demonstrated by circumnavigating New Zealand that it was not attached to a larger landmass to the south.	Male
92	Few of these anecdotes were as extended as the first-person narration about a statue of "Maximian" in the theatre of the Kynegion, which fell upon the [[investigator's]] [[companion]], killing him; the narrator, who had taken refuge in Hagia Sophia, was exonerated when a certain philosopher, [[Johannes]], found a text attributed to [[Demosthenes]], predicting that the statue was fated to kill a prominent [[man]].	Amb,Male,Amb,Amb,Male
93	In June 2009, [[Silberling]] confirmed he still talked about the project with [[Handler]], and suggested the sequel be a stop motion film because the lead [[actors]] have grown too old.	Male,Amb,Male
94	Participated in various Trainings, Meetings and Congress; had other relevant roles in Macau, such as [[Director]] of the Primary Mastership (where she lectured about History of Macau, and was author of the respective program) and Director of the Macau Historical Archive, since its foundation in 1979, until 1984.	Female
95	The Catechism of the Catholic Church states : The seventh commandment forbids unjustly taking or keeping the goods of [[one's]] [[neighbor]] and wronging him in any way with respect to his goods.	Amb,Male
96	During the writing of "The Fly", [[Bono]] created a persona based on an oversized pair of black sunglasses that he wore to lighten the mood in the studio.	Male
97	All three [[members]] later recorded solo versions of the song, all with different arrangements.	Amb
98	It was released as the album's third single and became the highest entry of the UK singles chart by a female [[artist]].	Female
99	When informed of the massacre of Italian [[prisoners]] at Biscari by [[troops]] under his command, [[Patton]] wrote in his diary, "I told [[Bradley]] that it was probably an exaggeration, but in any case to tell the [[officer]] to certify that the dead [[men]] were snipers or had attempted to escape or something, as it would make a stink in the press and also would make the [[civilians]] mad.	Male,Amb,Male,Amb,Amb,Male,Amb
100	Prince [[Feisal]] claimed [[Lawrence]] had assured him [[Arabs]] would administer the whole of Syria, including access to the Mediterranean Sea through Lebanon so long as his [[forces]] reached northern Syria by the end of the war.	Male,Amb,Amb,Amb
101	An affinity [[group]] is a group formed around a shared interest or common goal, to which [[individuals]] formally or informally belong.	Amb,Amb
102	The performance featured a range of guest [[vocalists]] for each of the songs, each of whom were close to [[Lucker]] in some way.	Amb,Amb
103	About the 6th century arose a legend of the [[martyr]] that made him a Roman and brought him into relation with Saint [[Anastasia]], evidently to explain the veneration of [[Chrysogonus]] in the Roman church that bears his name.	Male,Amb,Male
104	[[Saktikios]] attacked the Bulgarian camp while most [[soldiers]] were scattered to gather supplies, but when the main Bulgarian [[forces]] were informed about the attack, they engaged and defeated the [[Byzantines]], whose [[commander]] died from his wounds the following night.	Amb,Amb,Amb,Amb,Male
105	Other hits include "My Kinda [[Lover]]", "In the Dark", "Rock Me Tonite", "Lonely Is the Night", "Everybody Wants You" and "Emotions in Motion".	Amb
106	Upon its release, Overcome debuted at number one on the UK Albums Chart, selling 132,065 copies in its first week, the fourth largest first week sales for a female [[singer]] in 2009.	Female
107	List of female [[speakers]] of legislatures in the United States [[Beth Harwell]][['s]] profile at the Tennessee General Assembly website Representative Beth Harwell at Project Vote Smart Rep. Beth Harwell at Friedman Foundation Political News and Views in Tennessee at Nashville Post Beth Harwell for Governor	Female,Female,Amb
108	[[He]] was a [[model]] from 1991 until 2002.	Male,Male
109	The plot, though, was discovered by [[spies]] for the [[regent]], who immediately sent a Swedish [[man-of-war]] to Naples to seize him.	Amb,Male,Male
110	Her dream is to finish school and become a [[lawyer]].	Female
111	An anonymous [[writer]] for MTV described it as "wet and raunchy", while writing, "As [[you]] can see here the [[star]] has chosen a sexy shot to launch material from her next album.	Amb,Amb,Female
112	In 1847, Prince [[Christian]] was, with the approval of Europe's Great Powers, chosen as successor to the Danish throne by [[Christian VIII]] (who did not expect his only surviving son, the future [[Frederick VII]], to father dynastic [[sons]]).	Male,Male,Male,Male
113	The [[Grand Duchess]] noticed the similarities between herself and her younger [[cousin]] and, unable to deal with the situation, refused to speak to [[Charlotte Aglaé]] about her impending nuptials: the Grand Duchess of Tuscany says that she will not see Mademoiselle [[de Valois]] nor speak to her, knowing very well what Italy is, and believing that Mademoiselle de Valois will not be able to reconcile herself to it.	Female,Female,Female,Female
114	The [[boy]] then sees a female [[teacher]] in a classroom who's stricken with fear and closes the door, realizing that the boy is the cause of the damage.	Male,Female
115	[[She]] entices the male [[dancer]] with the cape as the chorus ends.	Female,Male
116	[[He]] suggests that the song is probably self-referential: "The song only attains full poignancy when [[one]] realises it is sung, at least in part, to the [[singer]] himself: he's the one 'with no direction home.'"	Male,Amb,Male
117	[[He]] is an up-and-coming fashion [[designer]] who designs some of [[Mia's]] gowns, and often has trouble pronouncing multi syllable words (example: "butt" instead of "butter").	Male,Male,Amb
118	[[Usher]] performed "Scream" in the 2012 Billboard Music Awards; during the performance he wore a black suit, bowler hat and bow tie while dancing with a masked [[female]], who later disappeared behind a cape and was replaced by a male [[dancer]] who mirrored Usher's dance routines.	Male,Female,Male
119	Produce 101 Season 2 premiered on Mnet in April 2017, where 101 male [[trainees]] from various South Korean entertainment companies competed to debut in an 11-member boy [[group]] that would promote for two years under YMC Entertainment.	Male,Male
120	[[He]] had five [[children]], including Sir [[Peter Hunt]] FRICS.	Male,Male,Male
121	[[Saldívar]] warned the [[singer]] that [[Martinez]] might have unprofessional intentions.	Amb,Amb,Amb
122	The Seri alphabet was developed in the 1950s by [[Edward W.]] and [[Mary B. Moser]], and later revised by a committee of Seri [[men]] and [[women]] working with [[Stephen Marlett]].	Amb,Amb,Male,Female,Amb
123	[[Knights Grand]] Cross and [[Knights Commanders]] prefix "Sir", and [[Dames]] Grand Cross and Dames Commanders prefix "Dame", to their forenames.	Male,Male,Female
124	Out of love for her [[brothers]], [[Clara]] will have to face [[Francisca]], her stepmother, and sacrifice the passion of a life.	Male,Female,Female
125	[[Wright]] further mentions that when she finished, she was apologetic about her performance even though [[those]] present were amazed at her improvisation.	Female,Amb
126	Fiefs or titles granted "in tail general" or to "[[heirs]] general" follow this system for [[sons]], but [[daughters]] are considered equal co-heirs to each other, at least in recent British practice.	Amb,Male,Female
127	EP was released in November 2018 with six different versions; one for each [[member]] - including [[Mai]] - as well as a [[group]] version.	Amb,Amb,Amb
128	[[Bowie]] himself said that the term "stardust" in "Ziggy Stardust" is taken from The Legendary Stardust Cowboy.	Male
129	To describe the frescoes by room: in the Hall of Olympus, [[Veronese]] painted [[Giustiniana]], mistress of the house and wife of [[Marcantonio Barbaro]], with her youngest [[son]], wetnurse and the family pets, a [[parrot]] and spaniel [[dog]].	Amb,Female,Amb,Male,Amb,Amb
130	Since his gimmick required that [[he]] speak no English (though it was in actuality his native tongue), he possessed a number of [[managers]] over the course of his long career, including [[Gary Hart]], [[Paul Jones]], [[Eddie Creatchman]], [[Black Baron]], [[The Grand Wizard]], [[J.J. Dillon]], [[Damien Kane]], [[Larry Sharpe]], [[Hugo Savinovich]], [[Chicky Starr]], [[Oliver Humperdink]], [[Buddy Colt]], [[George Cannon]], [[Bearcat Wright]], [[Big Bad John]], [[Tony Montana]], Gentleman [[Jim Holiday]], and [[Rock Hunter]], who were all portrayed as "handlers" commissioned to control the Sudanese [[madman]], while also doing most of the talking in promos and interviews.	Male,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Male,Amb,Male
131	In 1878 a yellow fever epidemic struck the town and killed more than half of the 150 [[residents]].	Amb
132	[[Shooto Shooto]] Pacific Rim 132 lb title (One time) One successful title defense Shooto rookie 143 lb champion (2010) Ultimate Fighting Championship Performance of the Night (Two times) [[Roland Delorme]] and [[Justin Scoggins]] Abu Dhabi Combat Club 2013 ADCC Asia trials 1st place – under 66 kg MMA portal List of current UFC [[fighters]] List of male mixed martial [[artists]] List of UFC bonus award [[recipients]] "Fight Card - UFC Fight Night [[Jedrzejczyk]] vs. [[Penne]]".	Amb,Amb,Amb,Amb,Male,Amb,Amb,Amb
133	Attacker You! is the story of ambitious and energetic thirteen-year-old junior high schoolgirl [[You]] (pronounced Yu) [[Hazuki]], who moves to Tokyo from the Japanese countryside, where she lived with her [[grandparents]], to live with her father [[Toshihiko]], a cameraman recently returned from Peru, and attend Hikawa High School.	Female,Female,Amb,Male
134	[[Dennis]] moved about 7 mph (11 km/h) faster than [[Ivan]] at landfall, and had hurricane-force winds that only extended 40 miles (65 km) from its center, compared to Ivan's 105-mile radius (170 km).	Amb,Amb
135	A [[reporter]] on a transatlantic cruise ship is accused of theft.	Amb
136	[[Anthony]]	Amb
137	Screen Actors Guild Award for Outstanding Performance by a Female [[Actor]] in a Leading Role	Female
138	Action [[figure]]	Amb
139	Empress [[Maud]]	Female
140	Religious faith of [[George W. Bush]]	Amb
141	Lady [[Mayor]]	Female
142	[[Louis Philippe II]] (Duke of Orleans)	Male
143	Latter-day [[Saint]]	Amb
144	Dead [[Poet]] Society	Amb
145	Spotted [[Eagle]] Rays	Amb
146	[[Chancellor]] of germany	Amb
147	[[Hera]] (moon)	Female
148	[[Dame]] of [[Justice]] of the Order of St John	Female,Female
149	[[graduate]] institution	Amb
150	The Surprise of a [[Knight]]	Amb
151	The [[Rose]] of Versailles	Female
152	Princess [[Francisca]] of Brazil	Female
153	Wat [[Tyler]]	Amb
154	Southern [[rapper]]	Amb
155	The New Adventures of [[Superboy]]	Male
156	[[Heinrich]], count von Bellegarde	Male
157	[[Boy's]] Tennis	Male
158	[[Widow]]	Female
159	American Airlines [[CEO]]	Amb
160	[[Joanna]], Princess of Portugal	Female
161	break [[dancers]]	Amb
162	[[grandmaster]]	Amb
163	[[M&]]amp[[;M]] ([[rapper]])	Amb,Amb,Amb
164	Female [[hero]]	Female
165	M ([[singer]])	Amb
166	Script [[Writer]]	Amb
167	first [[Bush Administration]]	Amb
168	That is what [[I]] wanted [[him]] to clarify.	Amb,Male
169	Mr [[President]], [[ladies]] and [[gentlemen]], as Mrs [[McNally]] said earlier, her report was not a particularly sexy matter.	Male,Female,Male,Female
170	Instead of convergence and cohesion, divergence is worsening, widening the gap between the [[rich]] and [[poor]].	Amb,Amb
171	Madam [[President]], after listening to the explanation given by Mr [[Watson]], whom [[I]] would like to wish a long presidency of the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs, for he does this job so well, my [[group]] withdraws its proposal and adopts the one tabled by Mr Watson.	Female,Male,Amb,Amb
172	[[I]] would like, finally, to express my warmest thanks to my [[colleagues]], most especially to Mr [[Friedrich]], the Vice-President, who chaired the [[Committee]], but also to Mr [[Kindermann]].	Amb,Amb,Male,Amb,Male
173	The next item is the debate on the report (A5-0022/2002) by Mrs [[Kratsa-Tsagaropoulou]], on behalf of the [[Committee]] on Women' s Rights and Equal Opportunities, on EU policy towards Mediterranean countries in relation to the promotion of women[[']]s rights and equal opportunities in these countries (2001/2129(INI)).	Female,Amb,Female
174	[[I]] find it disquieting, however, that the College of [[Quaestors]] is now largely made up of PPE-DE [[members]].	Amb,Amb,Amb
175	[[I]] must say that [[we]] cannot allow [[Members]] or [[representatives]] of this House to be smeared in this way, for, alongside the facetious comment, the recommendation that a [[representative]] of Parliament should call her book 'Mein Kampf' equates her with historical parallels which make it unacceptable in any way whatever.	Amb,Amb,Amb,Amb,Female
176	A normally sensible, wise and objective [[official]], widely respected and, indeed, loved by the world of food and food safety allowed herself to be bounced into a statement that the [[Commission]] could accept 250.	Female,Amb
177	[[You]] must bear in mind that, as [[I]] said, the European initiative is not the only source of support the European Union gives to [[victims]] of torture.	Amb,Amb,Amb
178	[[I]] therefore share the [[rapporteur’s]] opinion emphasising that adapting the CFP to the needs of these outermost regions must be done systematically and that defining a coherent and structured policy in this field is much-needed.	Amb,Amb
179	[[We]] should congratulate Commissioner [[Verheugen]] here, as well as [[Kofi Annan]] and the other [[negotiators]], on the fact that the Cyprus problem, which now is even a legal barrier to Turkish accession at present, is being solved.	Amb,Amb,Amb,Amb
180	It is absurd to appoint to the competition portfolio [[someone]] who, whatever her merits, will not be in a position to exercise her powers in full.	Female
181	Chairman [[Morillon]] and Vice-Chairman [[Miguélez Ramos]] both refuse the technocratic approach of rebuilding stocks at all cost, preferring instead to suggest ways to ensure that stocks remain within safe biological limits.	Male,Male
182	[[We]] also again express our desire for a more open procedure for elections to the Executive [[Board]] of the ECB.	Amb,Amb
183	In fact I was not only a [[lawyer]], but a lawyer dealing in debt collecting, often cross-border.	Amb
184	Also, [[we]] have the data protection [[supervisor]] and we have data protection directives, and the last thing we want is duplication.	Amb,Amb
185	(SK) Thank you for giving me the floor, Madam [[Chairman]].	Female
186	[[I]] will conclude with one more important point: psychological studies show that female [[prisoners]] find it difficult to adjust to living in close proximity to each other.	Amb,Female
187	It will focus on the following: support for observance of the rights and opportunities for socially excluded [[people]] to actively reintegrate themselves into [[society]]; emphasis on the responsibility of each [[member]] of society in the fight against poverty; broadening the tried and tested methods in the field of social inclusion; strengthening the commitment of the main political [[actors]].	Amb,Amb,Amb,Amb
188	[[I]] hope that the [[Minister]] will come to his senses and address the question, something which is already being prioritised by the rest of Europe.	Amb,Male
189	[[rapporteur]]. - (ES) Mr [[President]], Commissioner, in 2005 a freelance [[interpreter]], discovering that he was no longer hired by the European Commission when he reached the age of 65, lodged a complaint with the European [[Ombudsman]] for alleged age discrimination in violation of the Charter of Fundamental Rights.	Amb,Male,Male,Amb
190	Even if Pakistan was aware of the whereabouts of the al-Qaeda [[leader]], who was the subject of an international arrest warrant, and therefore would have been called on to extradite him, it does not change the fact that the targeted killing was a violation of Pakistan's sovereignty.	Male
191	The [[Commission]] has said precisely that suspicions about Spanish cucumbers have not been confirmed.	Amb
192	Administrative measures cutting red tape when [[farmers]] are preparing their applications should also be introduced, in order to facilitate access to EU funds.	Amb
193	However, the text does still contain one weakness in Article 9, which makes any movement of the [[specimens]] referred to in Annex A subject to prior authorization, which would make life difficult if not impossible for the competent [[authorities]].	Amb,Amb
194	Mr [[President]], [[Commissioner]], [[ladies]] and [[gentlemen]], it is in the nature of [[scientists]] always to doubt, but the [[politician]] who is aware of the vagaries of human behaviour must, in his capacity of legislator, attempt to evaluate them more closely.	Male,Amb,Female,Male,Amb,Male
195	[[You]] can only compare a female [[cook]] with a male [[cook]], not throw [[everybody]] into the same comparison.	Amb,Female,Male,Amb
196	Mr [[President]], [[I]] just wish to say that I agree with the [[rapporteur]] on the necessity of one vote on Amendments Nos 5, 6 and 14.	Male,Amb,Amb
197	Firstly, the International Safety Maritime Code has been made compulsory to ensure that [[management]], [[master]], [[officers]] and [[crew]] put safety first.	Amb,Amb,Amb,Amb
198	The other [[partner]] could thus become a legal mother only through adoption.	Female
199	[[Elizabeth]] kept a female [[companion]] with her most of the time.	Female,Female
