id	source with headwords	gender labels of headwords
15	Everything that can promote information, prevention and education, prophylaxy and treatment, whether in the younger age [[bands]], where appeals to consumption take place at ever earlier ages, or within [[families]], schools or at work, or through actions aimed at risk [[populations]] (including prison [[inmates]]), or aimed at public opinion in general, can count on our support and approval.	Amb,Amb,Amb,Amb
16	[[I]] have checked the figures and I would be pleased to let the [[Commission]] have these yet again.	Amb,Amb
17	Mr [[President]], [[I]] first wanted to thank Mrs [[Redondo Jiménez]] for her report on the quota system for potato starch.	Male,Amb,Female
18	[[Miller]]	Amb
19	[[Secretariat]] of National Defense	Amb
20	Google [[guys]]	Amb
21	Virginia [[white]]-[[tail deer]]	Amb,Amb
22	[[junker]]	Amb
23	The [[warlord]]	Male
24	[[ward]]	Amb
25	Washington [[Ronald Reagan]] Airport	Amb
26	[[African American]]	Amb
27	[[Mari]]	Amb
28	[[Junior]] Eurovision 2003	Amb
29	[[Fauna]] of great britain	Amb
30	Keeping Up With the [[Bigheads]]/Skid [[Marks]]	Amb,Amb
31	TV and radio [[presenter]]	Amb
32	The [[Dark Lord]] Chuckles the Silly [[Piggy]]	Male,Amb
33	[[George Villiers]], 1st duke of Buckingham	Male
34	XF-15 [[Reporter]]	Amb
35	[[Beretta]] 92FS Compact L	Amb
36	[[Ai]] am best	Amb
37	trial [[lawyer]]	Amb
38	[[William II]] of Hohenzollern	Amb
39	Galápagos [[Tortoise]]	Amb
40	Glorious through [[Hera]]	Female
41	Folk [[singer]]	Amb
42	ITunes Live from London ([[Miley Cyrus]] EP)	Amb
43	Comic [[poet]]	Amb
44	Location map Saint [[Kitts]] and Nevis	Amb
45	Verenigde Oost Indische [[Compagnie]]	Amb
46	[[Bunny]] boiling	Amb
47	[[Dancers]]	Amb
48	The then [[Chancellor]] held accounts for more than four hours in the Legislative Assembly, where he clarified and answered all the questions raised by the [[legislators]] of all the political fractions represented.	Male,Amb
49	In her mind, "[[I]] am always ugly." has long ago became an established law that doesn't change.	Female
50	[[Marks]] currently lives in Greenwich Village with her English Bulldog, [[Otis]].	Female,Amb
51	[[Wheeler]] died before he could work again on the text, and [[John Wells]] was engaged.	Male,Amb
52	[[Emma]] appears before [[Diana’s]] eyes for a moment but then vanishes almost as soon as she has appeared.	Female,Amb
53	According to [[Nurse]] (2003), most belong to the Yaka language, but one or two are assigned to the Boma–Dzing languages (ex-Yanzi); he does not say which ones.	Male
54	According to [[Kierkegaard]], an [[individual]] is "in despair" if he does not align himself with [[God]] or God's plan for the self.	Amb,Male,Male
55	In cases where no clear [[author]] is named, the title of the work is considered the main entry.	Amb
56	[[Taylor]] argued that the principle of management should be to secure the maximum prosperity for the [[employer]], coupled with the maximum prosperity for each [[employee]].	Amb,Amb,Amb
57	The [[singer]] is expressing her doubts about the subject and about the artistic value of the work.	Female
58	As a [[teacher]], she was calm and kind; but due to [[Yuki]] often sleeping in class, she would get a little annoyed with her; though, she didn't get particularly angry, and only warned her that if she continued, she would have to stay after class.	Female,Female
59	Among these could be cited that of the fleeing of the [[prisoner]] helped by a [[woman]], or of the annual tribute of fifteen noble [[virgins]] that are requested of [[Ferdinand]] by the [[pope]], [[emperor]] and [[king]] of France.	Amb,Female,Female,Amb,Male,Male,Male
60	With the advent of the digital age, it is increasingly important for the audio [[engineer]] to understand software and hardware integration, from synchronization to analog to digital transfers.	Amb
61	“In the summons [[I]] received on 5 November 2014, it is stated that I must turn myself in ‘for charges,’ but there is no further explanation about these charges," she stated.	Female
62	2,000 Immigration [[inspectors]] (called the Individual Service) who perform operational duty handling border protection and immigration matters and airline [[passenger]] checks.	Amb,Amb
63	Outside of music production, his credits include film [[director]] and cinematographer.	Male
64	[[He]] allowed his 9-year old [[neighbor]] into his studio to watch him work before inviting her to experiment with paint, brushes and canvas on her own.	Male,Female
65	After [[McGraw's]] success with his segments on The Oprah Winfrey Show, Dr. [[Phil]] debuted on September 16, 2002.	Male,Amb
66	The use of multiple authentication factors to prove [[one's]] identity is based on the premise that an unauthorized [[actor]] is unlikely to be able to supply the factors required for access.	Amb,Amb
67	During the [[O. J. Simpson]] trial, [[Savage]] was called to the witness stand to reveal her confidential sources, and was threatened with jail time by Judge [[Ito]].	Amb,Female,Amb
68	Private [[John G. Burnett]] later wrote "Future [[generations]] will read and condemn the act and I do hope posterity will remember that private [[soldiers]] like myself, and like the four [[Cherokee]] who were forced by General [[Scott]] to shoot an Indian [[Chief]] and his [[children]], had to execute the orders of our [[superiors]].	Amb,Amb,Amb,Amb,Amb,Male,Amb,Amb
69	Using what he discovered, [[Sabine]] deployed sound absorbing materials throughout the Fogg Lecture Hall to cut its reverberation time and reduce the "echo effect."	Male
70	More junior female [[members]] of the Royal [[Family]] also have [[friends]] to assist them on public engagements, who are known only as 'Ladies-in-Waiting'.	Female,Amb,Female
71	[[She]] was also the [[director]] of the National History Museum (Museo Nacional de Historia) from 1975-1980.	Female,Female
72	[[He]] was one of Universal Pictures's most popular male [[stars]] of the 1950s, his best known other credits including Sword in the Desert (1948), Deported (1950), Female on the Beach (1955) and Away All Boats (1956).	Male,Male
73	He is a Class 3 Air Force [[pilot]].	Male
74	In order to train as a [[researcher]], [[he]] left his clinical place and got a Postdoctoral fellowship by the Ministry of Education and Science, General Foreign Subprogram, to do his training research in Reproductive Endocrinology in the Obstetrics and Gynaecology Department at the Stanford University, California (United States) since 1991 until 1994.	Male,Male
75	Meanwhile, during that brief absence of [[Mata'pang]] from his hut, [[San Vitores]] and [[Calungsod]] baptised the [[baby]] girl, with the consent of her Christian [[mother]].	Male,Amb,Amb,Female,Female
76	[[He]] is a [[patron]] of the National Osteoporosis Society.	Male,Male
77	After overcoming the oppositions to the judiciary was [[judge]] of First Instance and Instruction in Orders, La Coruña, in 1948, to be subsequently assigned to the Courts of First Instance and Instruction of Lalín, Pontevedra (1949-1953), Piedrahita, Avila (1953) -1955) and Carballiño, Orense (1955-1958).	Amb
78	The knife first appeared in 1896 as a result of [[smiths]] struggling with the lowering demand for swords with the decline of the [[samurai]] under the reforms made by Emperor [[Meiji]] in the late 19th century.	Amb,Amb,Male
79	In 1970, [[Sawyer]] moved to Washington, D.C., and, unable to find work as a broadcast journalist, she interviewed for positions in government offices.	Female
80	Traveling into the field to meet with all of the Indian [[leaders]], by July [[he]] had found sixteen Seminole to send west.	Amb,Male
81	As drummer [[Mason]] states in his book Inside Out: A Personal History of [[Pink Floyd]], live versions of the song featured many sections that did not appear on the album, and would often last more than 20 minutes.	Male,Amb
82	While in Burlington, [[Parsons]] saw her first motion picture, The Great Train Robbery (1903).	Female
83	Primarily active in print media as both a [[writer]] and editor, [[he]] also became known to television [[audiences]] as a co-host on Crossfire.	Male,Male,Amb
84	Without a chance to clear his name, a [[witness]] would suddenly find himself without [[friends]] and without a job.	Male,Amb
85	Operalia, The World Opera Competition is an annual international competition for young opera [[singers]].	Amb
86	[[They]] were all adopted sons of a king named [[Vali]] (Bali), born by a sage named [[Gautama Dirghatamas]], who lived in Magadha close to the city of Girivraja.	Male,Male,Amb
87	When she was asked to join the [[Velvet Underground]], [[Tucker]] had dropped out of Ithaca College and was working for IBM as a keypunch operator.	Amb,Female
88	[[Miller]] says that he was greatly influenced by the films of [[Akira Kurosawa]].	Male,Amb
89	Female [[drivers]] have been allowed to participate in national rally tournaments, including Iran's successful female driver [[Laleh Seddigh]].	Female,Female
90	His initial appearance was as a Democratic U.S. [[Representative]] from Houston, Texas.	Male
91	In 1772–1776 [[Levitzky]] worked on a series of portraits of the [[pupils]] of the privileged women establishment Smolny Institute for Young Ladies in St. Petersburg commissioned by [[Catherine II]].	Amb,Female,Amb
92	While [[he]] did not personally beat a [[suspect]], he had Special Agent [[Ian Edgerton]] interrogate the [[teenager]] for information on where [[Megan]] was being held.	Male,Amb,Amb,Amb,Amb
93	His [[wife]] remains pregnant for six years, until she realizes she will not live much longer and commands that the [[child]] be delivered with a Caesarian, an operation that in those days cost the life of the mother.	Female,Female
94	Later, [[Carl]] heads into the woods alone, finding a walker stuck in a mudpit.	Amb
95	Occasionally, the [[champion]] of a particular weight division is temporarily unable to defend his championship because of medical, legal, or other reasons that are beyond the [[competitor's]] control.	Male,Amb
96	According to the prose Praefatio, the Old Saxon poem was composed by a renowned vernacular [[poet]] at the command of the emperor [[Louis the Pious]]; the text then adds that this poet had known nothing of vernacular composition until he was ordered to translate the precepts of sacred law into vernacular song in a dream.	Male,Male
97	Named Cultural [[Director]] of the Organization of American States (OAS) in 1963 with headquarters in Washington, D.C., he continued his task of promotion of North and Latin American culture until his resignation in 1970.	Male
98	In addition to [[Rocha's]] treatment, the report also documented among other incidents: Routine gambling, fraternization and association with [[prostitutes]] Falsifying paperwork in explosives accountability logs Naked female [[sailors]] handcuffed together and required to role play an angry lesbian couple as part of another supposed training exercise A female [[sailor]] was sexually assaulted by another [[sailor]] and the assault was not reported up the chain of command In October 2006, [[Toussaint]] was transferred out of the [[unit]] and [[Valdivia]] was placed in charge.	Amb,Amb,Female,Female,Amb,Amb,Amb,Amb
99	In 1531–32 [[he]] placed the pretender [[Cangali]] [[khan]] on the throne of Khanate of Kazan.	Male,Amb,Male
100	[[Baker]] received the 2485th star of the Hollywood Walk of Fame on November 30, 2012.	Amb
101	One of the early nature [[writers]] of the American Southwest, her classic The Land of Little Rain (1903) describes the fauna, flora and [[people]] – as well as evoking the mysticism and spirituality – of the region between the High Sierra and the Mojave Desert of southern California.	Female,Amb
102	Due to this, [[he]] also initially compared the [[protagonist]] with [[Rika]] so much to the point that he would see her as Rika's replacement.	Male,Female,Amb
103	[[Sotelo]] has recently begun to introduce a flamenco female [[dancer]] in his pieces.	Male,Female
104	At [[Mikhail Seslavinsky’s]] initiative an ethics code for [[broadcasters]] – called the Charter of Broadcasters of the Russian Federation – was drafted and signed on April 28, 1999 by the [[heads]] of the leading Russian TV and radio broadcasters.	Amb,Amb,Amb
105	Handbook of the Mammals of the World (HMW) is a book series from the [[publisher]] Lynx Edicions.	Amb
106	The majority of [[refugees]] were young adult males, 20 to 34 years of age, from the working class: skilled craftsmen, semi-skilled tradesmen, and unskilled laborers.	Male
107	He is also the former [[owner]] of the Messenger Group.	Male
108	[[Sawyer]] alerted [[Harding]] to the [[Veterans]]' Bureau scandal.	Amb,Amb,Amb
109	When a [[wrestler]] wishes to hang the belt, he must retrieve it from the [[official]].	Male,Amb
110	Since 1924 the [[winner]] of the beauty pageant has been crowned "Queen of the Fair".	Female
111	[["Jim" Chanos]] (born December 24, 1957) is an American investment manager and currently serves as president and founder of Kynikos Associates, a New York City registered investment [[advisor]] who is focused on short selling.	Amb,Amb
112	When [[Baker]] was 12, her foster [[parents]] died and her foster [[sister]] raised her afterwards.	Female,Amb,Female
113	[[Carpenter]] and his [[uncle]] both married women named [[Mary]].	Male,Male,Female
114	At Eurovision, [[Marian]] and her [[team]] (which included [[Anabel Conde]] who came second for Spain at the Eurovision Song Contest 1995) wore green dresses, while the shirtless male [[dancers]] wore black pants and held black feathers.	Female,Amb,Amb,Male
115	Shooting began in 1949, but was forced to shut down when the film's original Italian [[producer]] announced on one of the first days of shooting that he was bankrupt.	Male
116	[[Hawk]] possesses a "danger sense transformation" which allows him to change into a super-human with the powers of super strength, unlimited stamina, enhanced speed, enhanced agility, enhanced durability, enhanced body density and healing factor.	Male
117	"In 1956", [[he]] said, "[[John Houseman]], who was then the general director and producer at the American Shakespeare Theatre in Stratford, Connecticut, called [[me]] up and said, 'would you like to do some Shakespeare?'	Male,Amb,Male
118	According to the Duchess of Orléans, born [[Elisabeth Charlotte]] of the Palatinate, Madame, [[Marie Anne]] was responsible for her own marriage to the [[Duke]] of [[Bourbon]] as it was she who wanted to prevent her Orléans cousin [[Marie Louise Élisabeth d'Orléans]] from marrying the First [[Prince]] of the Blood, the most senior male at court after the immediate royal [[family]].	Female,Female,Male,Male,Amb,Male,Amb
119	As [[head]] of the international Jewish umbrella organization, [[he]] has met with a number of [[heads]] of state and government, including German Chancellor [[Angela Merkel]], Pope [[Benedict XVI]], Italian President [[Giorgio Napolitano]], Austrian Chancellor [[Alfred Gusenbauer]], Czech President [[Václav Klaus]], Hungarian Prime Minister [[Ferenc Gyurcsány]], King [[Abdullah]] of Saudi Arabia, King [[Abdullah]] of Jordan, Swiss President [[Pascal Couchepin]], Venezuelan President [[Hugo Chávez]] and Mexican President [[Enrique Peña Nieto]].	Male,Male,Amb,Amb,Male,Amb,Amb,Amb,Amb,Male,Male,Amb,Amb,Amb
120	Credit is also due to the European Parliament delegation and specifically to Mrs [[Lienemann]]. [[I]] also wish to welcome the agreement reached by the Portuguese Presidency and the European Parliament on the framework directive on water, an instrument that is crucial for the European Union' s environmental policy.	Female,Amb
121	The [[candidate]] states have spared no effort to meet the requirements.	Amb
122	As Mr [[Graefe zu Baringdorf]] pointed out, the conciliation procedure eventually achieved a satisfactory result on the most important points at third reading stage by involving all interested [[parties]] - something which [[I]] should like very much to commend.	Male,Amb,Amb
123	Mr [[President]], [[I]] am glad that my [[colleague]] in the PPE-DE Group has now come round to the view that I put to him yesterday.	Male,Amb,Male
124	[[I]] am sorry to have to say to Mrs [[Junker]] that, as far as media concentration is concerned, [[we]] may be starting off from the same idea, but we are also taking as our basis the same Treaty.	Amb,Female,Amb
125	Nevertheless, [[I]] would also like to briefly mention another country: Romania.	Amb
126	There are [[those]] who put forward arguments designed to alarm our female [[citizens]].	Amb,Female
127	If an important [[group]] in this Parliament wants to organise a dialogue between [[mothers]] of [[soldiers]] and Mr [[Zakayev]], then this should be covered by parliamentary immunity; if not, Belgium is not worthy of retaining the seat of the European Parliament here in Brussels.	Amb,Female,Amb,Male
128	Evidently, as Mr [[Virrankoski]] said, this all requires a firm and resolute policy which also embraces the revision of procedures, which [[I]] fully support.	Male,Amb
129	on behalf of the PSE Group. - (DE) Mr [[President]], [[Commissioner]], [[ladies]] and [[gentlemen]], [[I]] should like to start by thanking the rapporteur, Mr [[Liese]], for his fair and constructive cooperation over the last few months.	Male,Amb,Female,Male,Amb,Male
130	[[I]] have to remind the [[Members]] in this House that the UK has the biggest [[sheep]] flock in the whole of Europe - by far the biggest.	Amb,Amb,Amb
131	[[I]] must say that I am not an [[expert]] on cancer.	Amb,Amb
132	Mrs [[Sudre]] has prepared a valuable report in response to this consultation, in which she emphasises the importance, for example, of maintaining the ORs Unit and makes very specific proposals to maintain public services, promote innovation and overcome the digital divide.	Female
133	Even if [[we]] are unable to offer [[them]] the prospect of membership in the near future, we should develop economic and political cooperation for the sake of the common European good.	Amb,Amb
134	Mr [[President]], Mr [[Šemeta]], Mr [[López Garrido]], [[I]] am very pleased to see you and to address you - welcome.	Male,Male,Male,Amb
135	Or, for example, if [[someone]] does not use every last penny of their secretarial allowance, that is all right too.	Amb
136	Mrs [[Bonino]] has explained to [[you]] elsewhere the strategy [[we]] are working on with regard to the restructuring of fisheries and the preservation of [[fish]] stocks for environmental and ecological reasons.	Female,Amb,Amb,Amb
137	The comments and the good wishes offered to [[him]] are well-merited because, in my experience, [[no one]] has done more to ensure a quicker, effective presidency than Ireland's [[Minister]] for European Affairs.	Male,Amb,Male
138	[[I]] have heard from the different political [[groups]] what their concerns are.	Amb,Amb
139	Indeed, the [[author]] of the report herself refers to the need to involve the [[consumer]] at every stage of the process.	Female,Amb
140	[[Mason]]	Amb
141	Practical [[Nursing]]	Amb
142	[[Mason]]–Dixon Line	Amb
143	Greater [[ammi]]	Female
144	[[Fox]] On Stilts	Amb
145	Prince [[Max]] of Baden	Male
146	Undocumented [[alien]]	Amb
147	King [[Philip II]]	Male
148	The Adventures of [[Shark Boy]] &amp; [[Lava Girl]] in 3-D	Male,Female
149	[[I]]-[[HAWK]]	Amb,Amb
150	Jello [[Editor]]	Amb
151	Foreign [[minister]] of France	Amb
152	A Portrait of the [[Artist]] as a Young Man (film)	Male
153	[[Baltasar de Zuniga]], duque de Arion y marques de Valero	Male
154	Legendary [[pokemon]]	Amb
155	Jordanian [[Air Force]]	Amb
156	Pretty [[Baby]]	Amb
157	[[Charles III]]	Amb
158	aerobatic [[pilot]]	Amb
159	green [[woodpecker]]	Amb
160	[[Athénaïs de Rochechouart de Mortemart]], Marchioness of Montespan	Female
161	[[Worker]] and Kolkhoz [[Woman]]	Female,Female
162	[[McDonnell]] F-110	Amb
163	[[Ai]] Am Best	Amb
164	Northern [[dancer]]	Amb
165	ECW World Television [[Champion]]	Amb
166	[[Dean]] v. District of Columbia	Amb
167	Ball [[hogg]]	Amb
168	[[Molotov]]-[[Ribbentrop]] pact	Amb,Amb
169	[[Sophia]], Countess Palatine of Simmern	Female
170	[[Chancellor]] and Principal Companion of the Order of Canada	Amb
171	List of main [[characters]] in Ben 10	Amb
172	Tree [[heather]]	Amb
173	Pope [[Fabian]]	Male
174	Methods of [[expert]] estimations	Amb
175	Ms [[Publisher]]	Female
176	Oil [[painter]]	Amb
177	voice [[actor]]	Male
178	Slave [[worker]]	Amb
179	Musical [[artist]]	Amb
180	Princess [[Marie Louise]] of [[Bourbon]]-Parma	Female,Female
181	[[Guru]] maa	Female
182	WWE [[Divas]] Championship	Female
183	A Prairie Home [[Companion]] (movie)	Amb
184	[[Rogue]] planet	Amb
185	[[Jack]] (mechanical)	Amb
186	Male [[dancers]]	Male
187	The object is to destroy the [[mutants aliens]] and, most importantly, the Mother [[Creature]].	Amb,Female
188	Later, [[she]] would proudly refer to their canine [[companion]] as the only "Honorary Lady member of the Alpine Club".	Female,Female
189	This basement was in the Shelter School and many [[children]] were abused there by Mr. [[Harper]].	Amb,Male
190	Each [[publisher]] worked independently, producing maps based upon his own [[customers']] needs.	Male,Amb
191	Later, in a dark alley, [[Tom]] wakes up with [[Dai]], [[Mike]] and his [[son]].	Amb,Amb,Male,Male
192	[[Joseph Nunn]] was responsible for designing the mechanical elements of these cameras, while Dr. [[Baker]] worked on the camera.	Amb,Amb
193	Similarly, some [[rabbis]] will say the blessing to a [[boy]] at his bar mitzvah or to a [[girl]] at her bat mitzvah.	Male,Male,Female
194	[[Carter]] pushes [[Alex]] out of the way at the last second, and Alex says that Death has skipped him.	Male,Male
195	As director of the internationally distributed Orlando (1992), [[Potter]] received greater appreciation for her writing and direction.	Female
196	The [[model]] who appeared in the music video for "Humble" was also attacked on social media due to her role in the video.	Female
197	[[Jakeem]] then wishes that the Thunderbolt could save [[Johnny]] somehow, so the genie chooses to merge with Johnny, creating a new being with the memories of both.	Amb,Amb
198	Five years later, however, [[Felipe II]] himself asked for twenty four Jesuit [[priest]] to be sent to the Americas, but due to several issues this could not be done.	Male,Male
199	[[Hunter]] appeared on a 2005 celebrity episode of Lingo, where she and her partner [[Trista Rehn]] split $US30,000 for charity.	Female,Amb
200	From 1988 to 1993, [[he]] was [[head]] of the European Commission's representation in Germany, in Bonn.	Male,Male
201	By 1931, [[Porter]] and her [[team]] had successfully understood the chemical reactions in stored apples but had not yet ascertained their cause; that year, the study's funding was cut off and their research was concluded.	Female,Amb
202	She happens to be a [[genius]], as she masters the Gakumazawa-style martial art in less than a few minutes but her laziness prevents her from utilizing her talents efficiently.	Female
203	With current technology severely limiting the velocity of space travel, however, the differences experienced in practice are minuscule: after 6 months on the International Space Station (ISS) (which orbits Earth at a speed of about 7,700 m/s) an [[astronaut]] would have aged about 0.005 seconds less than those on Earth.	Amb
204	[[She]] was too much a slightly conventional [[Christian]], and she refused to follow [[him]].	Female,Female,Male
205	The day of the trial arrives and first her [[maidens]] come, then [[her]].	Female,Female
206	In 1984, [[she]] became [[manager]] of The Golf Resort (later called The Disney Inn), a hotel that is now Shades of Green, a military resort operated by the U.S. Department of Defense at Walt Disney World Resort.	Female,Female
207	While a [[student]] from 1950–52, [[she]] worked as a secretary at Lockheed Air Terminal in Burbank (now Bob Hope Airport) and in a parts factory.	Female,Female
208	Because his [[father]] and older [[sister]] travel and his [[mother]] left for a global trip when [[he]] was just a [[baby]]. he lives alone in his two story home at the beginning of the story.	Male,Female,Female,Male,Male
209	It can be seen in the warning of the [[editor]], all the trouble he had to store these notes and to supplement the omissions of [[Marchand]].	Male,Amb
210	[[Ward]] was in a relationship with her co-star [[Tom Baker]] whilst working on Doctor Who, and they lived together in a flat in Deptford.	Female,Amb
211	To prepare for the role, [[Cartwright]] consulted with [[people]] who worked with [[people]] with autism, watched documentaries, read blogs created by people with autism, and books from authors with autism, such as [[Temple Grandin]] and [[Daniel Tammet]].	Amb,Amb,Amb,Amb,Amb
212	It stars [[Kim Novak]] as a witch who casts a spell on her [[neighbor]], played by [[James Stewart]].	Female,Male,Amb
213	While [[she]] was an excellent [[fighter]], she was rather silly and clumsy at home, much to the annoyance of her [[husband]] and [[daughter]].	Female,Female,Male,Female
214	So, a [[reporter]] on one of the tours to the United States described his surprise when he realized that Congreso complete records transmitted by the radio in New Orleans, as was the case of La loca con zapatos and Los fuegos del hielos.	Male
215	In 1978, [[members]] of the [[group]] went their separate ways to develop their solo careers.	Amb,Amb
216	The [[narrator]] in the story must do as her [[husband]], who is also her doctor, demands, although the treatment he prescribes contrasts directly with what she truly needs — mental stimulation and the freedom to escape the monotony of the room to which she is confined.	Female,Male
217	By the end of the day, a [[spokesperson]] for the National Transitional Council said Tawergha had been secured.	Amb
218	To this literary production should be added eight Récréations pieuses: poetic and theatrical compositions, conceived and performed by the [[Saint]] for her [[community]] on certain feast days, in accordance with the tradition of Carmel.	Female,Amb
219	The lower the intensity of the crises, the less resources have to be used to cope with the consequences: Absorption: Skills or resources, which are used to reduce the impact of a crisis without changing the lifestyle (e.g. selling some [[livestock]]) Adaptation: Once the capacity to absorb is exhausted, steps are taken to adapt the lifestyle to the situation without making drastic changes (e.g. using drought-resistant seeds).	Amb
220	The [[photographer]] puts aside her camera and hugs a [[protester]] in celebration.	Female,Amb
221	[[Head]] of the Department of Historical Research of the Department of Historical Studies of the Argentine Air Force from 1983 to 1988 [[Regent]] in Charge of the Office of the National School of Museology of Buenos Aires, under the National Commission for Museums and Monuments and Historical Sites from 1992 to 1994.	Amb,Amb
222	[[Stan]] is frequently embarrassed and annoyed by his [[father's]] antics and frequent acts of public drunkenness.	Male,Male
223	Until that time, the eldest [[daughters]] of English and Scottish [[kings]] were variously titled lady or princess (The younger [[daughters]] of British [[sovereigns]] were not consistently titled princesses of Great Britain and styled Royal Highness until the accession of [[George]] [[I]] in 1714).	Female,Male,Female,Amb,Amb,Male
224	Back in England, his selection as [[architect]] of the proposed Pantheon or "Winter Ranelagh" in Oxford Street, London, brought him almost unparalleled instant success.	Male
225	'Cos then [[I]] know if, um, our side's winning, if our side's losing..." he is then interrupted by the channel being changed and a burst of ape-chatter.	Male
226	Edited by Dreamcatcher cooperative Seville, [[Juan Pinilla]] takes an entertaining study of Flemish [[artists]] who struggled with his singing, dancing and guitar for the attainment of freedom and democracy.	Amb,Male
227	[[He]] warns her that she is now just another [[murderer]] in his eyes, and if she ever returned to the United States or practiced medicine again, he would bring her to justice.	Male,Female
228	In 1997, [[Cook]] appeared in a leading role in the film Country Justice as a 15-year-old rape victim who is impregnated by her [[rapist]].	Female,Amb
229	No mention was made of her past as a [[journalist]]; instead, she now appears to be involved in archaeology.	Female
230	[[They]] lose the appeal but fortuitously, an anonymous [[man]] gives the [[judge]] new evidence that allows him to stay the execution.	Amb,Male,Male
231	In The Office Boy, released the same year, [[Flip]] tries to secure a low-level office job and meets a shapely [[secretary]].	Amb,Amb
232	[[Argand]] and [[Warren]] carried double algebra so far but they were unable to interpret on this theory such an expression as ea√−1.	Amb,Amb
233	Before becoming the [[director]] of the Picasso Museum Barcelona, he was deputy director of museums in Besançon.	Male
234	The composition probably remained unchanged: [[Christ]] flanked by male and female [[saints]], seated on a hill while [[lambs]] drinking from a stream at its feet.	Male,Female,Amb
235	He is also the "Songwriting [[Teacher]]" for ABS-CBN's Pinoy Dream Academy.	Male
236	Such [[officers]], and those of the Presidency Armies of the British East India Company, were often looked down upon as being "not quite gentlemen" by [[officers]] who had purchased their commissions.	Male,Amb
237	"[[You]]" has long lived in the city, but yearns for a rural existence from the past [[He]] shuns the idea of settling for "a peaceful and stable existence" where [[one]] wants to "find a not-too-demanding sort of a job, stay in a mediocre position, become a husband and a father, set up a comfortable home, put money in the bank and add to it every month so there'll be something for old age and a little left over for the next [[generation]]".	Male,Male,Amb,Amb
238	A [[person]]'s absence from court can be equally revealing: [[Wulfstan I]], Archbishop of York from 931 to 956, failed to attest any royal charters between 936 and 941, during which time the Battle of Brunanburh was fought between Æthelstan and an alliance of the Hiberno-Norse king of Dublin, [[Olaf Guthfrithson]] and the Scottish king, [[Constantine]].	Amb,Male,Male,Male
239	Demeny voting is the provision of a political voice for [[children]] by allowing [[parents]] or [[guardians]] to vote on their behalf.	Amb,Amb,Amb
240	Some of [[them]] do the work of associative particles with additional meaning as prepositions and/or conjunctions (no. 102 to 128).	Amb
241	The middle [[figure]] has his hand raised in benediction.	Male
