id	source with headwords	gender labels of headwords
78	Although [[she]] ensured that the initial [[farmers]] were all women, she realised that she wanted to see equality between both genders and included male [[farmers]] in the trade union formed through the work.	Female,Female,Male
79	The [[Punch]] case was significant because it established the disparity between his sentence as a negro and that of the two European indentured [[servants]] who escaped with him (one described as Dutch and one as a Scotchman).	Male,Male
80	At the end of the song, a male [[dancer]] asks [[her]] to dance.	Male,Female
81	In 1781, to commemorate the birth of the first [[dauphin]], [[Louis XVI]] commissioned [[Richard Mique]] to redecorate the cabinet de la Méridienne (1789 plan #6) (Verlet 1985, pp. 586).	Male,Amb,Amb
82	After winning the Best Collaboration Awards for "Crazy in Love" at the 2004 BET Awards, [[Beyoncé]] dedicated the award to the show's host, comedian [[Mo'Nique]], who parodied the choreography from the "Crazy in Love" video with six equally voluptuous female [[dancers]].	Amb,Female,Female
83	Her 1927 play version of [[Mary Shelley's]] Frankenstein is notable for naming the creature "Frankenstein" after its [[creator]], and for being the inspiration of the classic 1931 film directed by [[James Whale]].	Amb,Amb,Amb
84	[[Powell]] waited until [[Lennon]] came back from Hamburg before she asked [[Smith]]—who had taken in lodgers before at 251 Menlove Avenue—if she would rent a room to her.	Female,Female,Female
85	In 1907 [[he]] married his first [[cousin]], a daughter of the violinist [[Joseph Joachim]].	Male,Female,Amb
86	After putting the [[sitter]] at ease and encouraging a natural pose, the [[artist]] studies his subject, looking for the one facial expression, out of many possibilities, that satisfies his concept of the sitter's essence.	Amb,Male
87	His speed, combined with punching power and surprising ring maturity for a [[16-year-old]], were enough to make him a world-ranked [[boxer]] by both the WBA and WBC, then boxing's only world-title recognizing organizations.	Male,Male
88	[[Hunter]] was opposed strongly by [[officers]] of the Corps, and pamphlets and letters against him were circulated.	Male,Amb
89	Due to her high ratings as an [[instructor]] of German at McGill, in 1978 she was offered a joint appointment with the Department of Russian and Slavic Studies where she taught for ten years.	Female
90	The [[author]] follows chiefly [[Menahem ben Saruq]]; occasionally, and with diffidence, however, he advances his own views, and the entire conception of the form and contents of the work shows a certain degree of independence.	Male,Amb
91	This policy created worry among the [[militants]] in the NSDAP, who were concerned that it would harm the number of female [[graduates]], a reservoir needed for future party ranks.	Amb,Female
92	The suppression of the rising was followed by a period of renewed repression of the United [[Irishmen]] as the general amnesty offered by Lord [[Lieutenant Cornwallis]] specifically excluded rebel [[leaders]] many of whom were United Irishmen.	Male,Male,Male
93	She is currently the [[host]] of Whose Line Is It Anyway?.	Female
94	Looking for [[allies]], [[he]] reached the [[federalists]] of [[Juan Pablo Bulnes]], who were distanced from [[Díaz's group]], and various local [[politicians]] and influential local [[businessmen]].	Amb,Male,Amb,Amb,Amb,Amb,Male
95	"As his old [[opponent]] on the battlefield", [[he]] stated, "I have no complaints against him.	Male,Male
96	It received mixed reviews that left [[Carpenter]] disillusioned with Hollywood and influenced his decision to return to independent filmmaking.	Male
97	[[McGuane]] is quick to point out, however, that unlike these [[protagonists]], he has been happily married to [[Laurie Buffett]] since the late '70s and, in the estimation of one Montana friend ([[William Kittredge]]), has a “genius for living well,” the prescription for which seems to include ample [[family]] time, reading, writing, cutting [[horses]], and flyfishing, all in the Boulder River valley near McLeod, Montana, where McGuane has moved his ranch from Paradise Valley.	Male,Amb,Amb,Amb,Amb,Amb
98	[[They]] ruled over an independent region that derived its wealth from gold mining, [[horse]] trading and as middlemen in the trade in luxury items from continental Asian states and from the far northern Emishi and Ainu [[people]].	Male,Amb,Amb
99	[[Polybius]] also asserts that certain of the [[Celts]] fought naked, "The appearance of these naked [[warriors]] was a terrifying spectacle, for they were all men of splendid physique and in the prime of life."	Amb,Amb,Male
100	With the election of [[Ratzinger]] as pope on April 19, 2005, followed by the death of [[Jaime Sin]] on June 21, 2005, [[Baum]] became the last cardinal elevated by Pope [[Paul VI]] to maintain voting rights in a papal conclave.	Male,Amb,Male,Male
101	On November 16, 1896 the statue of the [[Virgin]] was crowned, based on the decree issued September 22, 1895 by the Vatican Chapter.	Female
102	She is currently the Paul Ehrlich [[Professor]] of Immunology at the Weizmann Institute of Science, where she is researching anti-cancer and influenza vaccinations.	Female
103	The novel is written in a mixture of first and third person, as the [[narrator]] relates events in Africa secondhand, and herself witnesses, and participates in, the actions that take place in Surinam.	Female
104	Previously he had been a [[lecturer]] in London.	Male
105	Just before his removal from the post of [[Secretary]] of [[State]], [[he]] was arrested on a charge of being implicated in the Popish Plot, but he was at once released by order of [[Charles II]].	Male,Male,Male,Amb
106	A [[specialist]] of the linguistic heritage of Quebec, he also is a stout defender of Quebec independence.	Male
107	A new female [[worker]] enters the office.	Female
108	In 1959, [[Miller]] wrote a short story which he called his "most singular story".	Male
109	Since July 2015, [[he]] has served as the [[director]] of HEC Paris.	Male,Male
110	[[White]] was a surgeon on HMS Royal William, and for 20 years he was stationed first at Sheerness from 1799 and then at Chatham Dockyard from 1803.	Male
111	Most of the [[poets]] are princes and high-ranking regents, such as Prince [[Ōtsu]].	Male,Male
112	As first [[officer]], she sustains my power.	Female
113	It was later revealed that [[Reso's]] character was [[Christian]], [[Edge's]] storyline brother, and he was aligned with [[Gangrel]] as his vampire follower.	Male,Male,Male,Male
114	WRO [[soldier]]: [[Sir]].	Amb,Male
115	An accompanying music video for "3", directed by [[Diane Martel]], features [[Spears]] and her [[dancers]] in front of different black and white backgrounds.	Amb,Female,Amb
116	As in the previous year, [[she]] was unable to advance beyond the preliminary round, but was able to defeat a female [[professional]] for the second time.	Female,Female
117	Six [[hostages]] in particular were kept because they were men and American citizens, not necessarily Jews: [[Robert Norman Schwartz]], a U.S. Defense Department researcher stationed in Thailand; [[James Lee Woods]], Schwartz's assistant and security detail; [[Gerald Berkowitz]], an American-born Jew and college chemistry professor; [[Rabbi Abraham Harrari-Raful]] and his brother Rabbi [[Joseph Harrari-Raful]], two Brooklyn school teachers; and [[John Hollingsworth]], a U.S. State Department employee.	Male,Male,Amb,Amb,Male,Male,Amb
118	In July 1905, [[Potter]] bought Hill Top, a working farm in the Lake District with the profits from her books and a small legacy left her by an [[aunt]]; the farm became her home away from London and her artistic retreat.	Female,Female
119	The [[frog]] had no name when the cartoon was made, but [[Chuck Jones]] later named him Michigan J. Frog after the song "The Michigan Rag", which was written for the cartoon.	Male,Amb
120	With this directive, [[we]] have the chance to take a big step forward, but this presupposes that the [[Council' s]] position is not torn to shreds and weakened in [[Parliament' s]] reading of it.	Amb,Amb,Amb
121	In particular, there must be greater emphasis on [[man's]] agricultural environment. In the recent flooding of the Po, farmland acted as a floodway, protecting the urban centres, and agriculture channelled off the floodwater, bearing the brunt of it itself in order to protect built-up areas.	Male
122	Of course, both [[employers]] and [[workers]] - generally both women - are often happy with this state of affairs, which saves money.	Amb,Female
123	[[I]] therefore strongly support what Mrs [[Maes]] has stated, namely that it is this way [[we]] must choose in order to move forward.	Amb,Female,Amb
124	Mr [[President]], Mr [[President-in-Office of]] the Council, [[Commissioner]], first of all, on behalf of the [[Committee]] on Foreign Affairs, Human Rights, Common Security and Defence Policy, [[I]] would like to thank you for your praise of the committee[['s]] work just now and, of course, to applaud Mr [[Esteve]] for pointing out that this report was unanimously adopted and that it is the first time this has happened in our committee's history.	Male,Male,Amb,Amb,Amb,Amb,Male
125	The budget for 2004-2005 remained at EUR 2.2 million and the request to specify more clearly the activities of the lobby to be supported, replacing ‘etc’ with ‘gender mainstreaming in the areas of education, sport, health and social security’ and ‘cooperation with [[women’s]] associations from third countries’ was not granted. This is something that [[we]] regret.	Female,Amb
126	[[I]] agree with this statement by the [[rapporteur]] and I would urge the [[Governor]] of the Bank of Spain to continue focusing on price stability as the main objective and not to listen to the [[sirens]]’ songs from the left trying to lure him towards other objectives.	Amb,Amb,Male,Amb
127	Whilst [[I]] see this as cause for rejoicing, I do find it remarkable, as he is also a [[coordinator]] on the Committee on International Trade.	Amb,Male
128	The new proposal, on which our rapporteur, Mrs [[Prets]], has done a very good job, tries to reconcile the various viewpoints both within [[Parliament]] and within the [[Council]].	Female,Amb,Amb
129	[[You]] should at least have the decency to let our [[guest]] finish speaking.	Amb,Amb
130	In all those matters [[I]] have great respect for the [[rapporteur]], but I wonder whether [[anybody]] else in this place pays any attention to the budget, apart from the small number of budget [[geeks]] who exist in just a couple of [[committees]] in this place.	Amb,Amb,Amb,Amb,Amb
131	Mr [[Stevenson]] said that longer journeys were unavoidable - [[I]] say: not so.	Male,Amb
132	The Hungarian [[Government]] closed [[them]] down in 1961.	Amb,Amb
133	In addition, her other professional achievements, such as holding the position of Chief Adviser to the World Bank and being Spain's first female Minister for Foreign Affairs, do not leave any doubt that she will be the right [[person]] in the right job.	Female
134	It is not a solution to do what the Spanish [[Government]] suggested when they offered asylum to the starving [[prisoner]].	Amb,Amb
135	B4-1294/96 by Mrs [[González Álvarez]] and [[others]], on behalf of the GUE/NGL Group, on killings in El Salvador.Armenia	Female,Amb
136	The assisting [[spouse]] deserves more than just recognition from her [[husband]] and [[family]].	Female,Male,Amb
137	[[I]] should like your understanding for the fact that neither Mr [[Oreja]] nor my female [[colleague]] could be here today.	Amb,Male,Female
138	Finally, [[I]] would like to stress the point Mr [[Pronk]] made on cross-border [[workers]] and also congratulate Mrs [[Weiler]] on her report in that regard.	Amb,Male,Amb,Female
139	The next item is the recommendation for second reading (A4-0116/98), on behalf of the [[Committee]] on Transport and Tourism, on the common position adopted by the [[Council]] with a view to adopting a Council Regulation amending Regulation (EEC) 3821/85 on recording equipment in road transport and Directive 88/599/EEC concerning the implementation of Regulations (EEC) 3820/85 and 3821/85 (C4-0009/98-94/0187(SYN)) (Rapporteur: Mr [[Wijsenbeek]]).	Amb,Amb,Male
140	Thank you very much, Mr [[Imbeni]].	Male
141	Mr [[Pasty]] questioned whether there could be a conditional discharge.	Male
142	In substance, Mr [[Tindemans]] is advocating trust.	Male
143	Mrs. [[Daniels]]	Female
144	The [[Leopard]] (1963 film)	Amb
145	[[Phoenix]] SSTO	Amb
146	Princess [[Mathilde]]	Female
147	List of female state [[leaders]]	Female
148	Best Male [[Newcomer]]	Male
149	Male [[group]] or [[artist]] of the year	Male,Male
150	Bull [[dancer]]	Male
151	Foreign [[Legion]]	Amb
152	[[undergraduate]] studies	Amb
153	[[Elisabeth]], Queen of Spain	Female
154	C'est pas [[moi]], je le jure!	Amb
155	White [[fox]] fur	Amb
156	Screen Actors Guild Award for Outstanding Performance by a Female [[Actor]] in a Supporting Role – Motion Picture	Female
157	Mural [[artist]]	Amb
158	German [[Newcomer]] Chart	Amb
159	Chimera [[Ants]]	Amb
160	[[songwriter]]	Amb
161	Sir [[Francis Haddock]]	Male
162	King [[Muskar XII]]	Male
163	Nearest [[neighbor]] decoding	Amb
164	Olympic gold [[medalists]] for Romania	Amb
165	Mr. Spanish [[Ambassador]]	Male
166	[[Allied]] Victory Medal	Amb
167	Outstanding [[Performer]] in a [[Children's]] Series	Amb,Amb
168	Empress [[Catherine the Great]]	Female
169	[[Adult]] Swim	Amb
170	[[Giovanni]] (Pokemon)	Amb
171	[[Gay]] Marriage	Amb
172	Asociacion [[Madres]] de Plaza de Mayo	Female
173	Cup of European [[Champions]]	Amb
174	Category: [[User]] python	Amb
175	[[Jay-Z]]	Amb
176	Lady [[Stark]]	Female
177	Ms. [[Ellen]]	Female
178	Category: [[Presidents]] of the Principality of Asturias	Amb
179	Blessed [[Teresa]]	Amb
180	[[Pilot]] ([[Girls]])	Female,Female
181	Category: Indian female [[musicians]]	Female
182	Stoßtrupp [[Adolf Hitler]]	Amb
183	It was founded by a local [[family]] and has never had its own [[rabbi]].	Amb,Amb
184	In a few days [[he]] had assembled a strong band of [[farmers]] of 1,500 men.	Male,Male
185	However, while Genji is told from a male perspective, Yoru no Nezame is told from the perspective of a female [[protagonist]].	Female
186	She was the story [[editor]] for Falcon Crest, Fantasy Island and The Fitzpatricks.	Female
187	Early in the autumn of 1908, [[Potter]] wrote her publisher [[Harold Warne]] that she had several ideas for new books.	Female,Amb
188	But this often meant that [[girls]] were not allowed to attend school, as the international aid agency Oxfam reported in 2007 that about one quarter of Afghan [[teachers]] were women.	Female,Female
189	It described the call by [[Avery Brundage]], who led the American [[team]] to the 1936 Summer Olympics in Berlin, that a system be established to examine female [[athletes]] for "sex ambiguities"; two athletes changed sex after the Games.	Amb,Amb,Female
190	In the case of the latter, legal case documents describe childless [[widows]] who accused their [[nephews]] of stealing their property.	Female,Male
191	His May 17 entry describes one of the moves: At night about 11:30 o'clock under cover of darkness [[I]] left the cave.	Male
192	Games with a female-only [[protagonist]] had, on average, only 50% of the marketing budget of female-optional games, and 40% of the marketing budget of games with male-only [[protagonists]].	Female,Male
193	Regarded as one of the most powerful [[figures]] in the Japanese entertainment industry, [[he]] has held a virtual monopoly on the creation of [[boy]] [[bands]] in Japan for more than 40 years.	Male,Male,Male,Amb
194	During a night attack at Chickamauga, [[Smith]] and his [[staff]] inadvertently rode into Union lines, where he and two [[aides]] were struck down.	Male,Amb,Amb
195	Disillusioned by failure to realise German unity and distressed by the death of his 21-year-old [[daughter]] from the plague, in 1850, [[Loew]] left politics.	Female,Male
196	However, despite stimulus policies, the number of cooperative [[members]] fell from 130,000 in 1998 to 108,700 in 2006.	Amb
197	In 1935, [[Herbert White]] organized the top Savoy Ballroom lindy hop [[dancers]] into a professional performance group that was eventually named Whitey's Lindy Hoppers.	Amb,Amb
198	At the beginning of the 15th century, [[John Hall]] and his wife [[Katherine]] complained that [[Sir Richard Arundell]] and [[others]] had violently seized the manor and goods, money, title deeds and three bonds, and had bound one of their [[servants]] and thrown him into the Avon.	Male,Female,Male,Amb,Male
199	[[Marina Salye]] was well known to have lived with a female [[partner]] whom she called her "sister."	Female,Female
200	[[Mason]] had worked on a similar project prior to his involvement in the creation of the Kissimmee Xanadu House — an "experimental school" on a hill in Virginia which was also a foam structure.	Male
201	A [[family]] [[friend]], who was an upholsterer, entrusted to [[him]] in 1960 the work of restoration of leather antiques, allowing him to make a living during this period in Montparnasse.	Amb,Male,Male
202	The [[author]] thus showed the great richness of the entomological fauna of the Alsace,the richest of France, after the Provence and Côte d'Azur.	Amb
203	Meanwhile, the [[British]] appointed an official resident in Bulawayo, as [[Lobengula]] had requested; much to the [[king's]] indignation, it was [[Moffat]].	Amb,Amb,Male,Amb
204	Certain male [[writers]] also did not associate with a particular literary [[group]], or did so for a short time before moving on to other creative ethics.	Male,Amb
205	[[Wollstonecraft]] also adheres to the Lockean conception of the mind as a "blank slate": in Original Stories, Mrs. [[Mason]] describes her own mind using these same terms.	Amb,Female
206	She is also the [[director]] of the Duke University Marine Laboratory.	Female
207	Repeal of the criminalisation of [[male]] homosexuality had been under serious consideration since 2006.	Male
208	His career in China as a liberal [[educator]] was not derivative of [[John Dewey]], as [[some]] have alleged, but creative and adaptive.	Male,Amb,Amb
209	[[She]] has been the [[chair]] of Film and Animation department at the School of the Museum of Fine Arts, Boston since 2000 and was appointed to a fellowship at the Radcliffe Institute for Advanced Study.	Female,Female
210	Chanteurs sans Frontières was a French association founded in 1985 following the English-speaking world model of the bands [[Band Aid]] and USA for Africa with the same purpose : providing assistance to [[victims]] of the famine then raging in Ethiopia.	Amb,Amb
211	[[Wilson]] contributed an essay, To All You Genius Future [[Songwriters]], to the 2008 book Rock N' Roll Camp for Girls, which provided advice to aspiring female rock [[musicians]].	Amb,Female,Female
212	She is a [[specialist]] on [[Henry Miller]].	Female,Amb
213	[[She]] also taught [[them]] knot tying, how to read a map, knitting, cooking, and first aid, and her [[friends]] in the military taught the [[girls]] drilling, signaling, and camping.	Female,Female,Amb,Female
214	[[Paskevich]] gave the [[regent]] two weeks to fulfill her promise and ordered General [[Karl Hesse]] to move into Guria with two [[battalions]], ostensibly for cooperation with the Gurian [[forces]].	Amb,Female,Amb,Amb,Amb
215	As a prolific [[performer]], [[he]] recorded for several leading labels including: RCA Victor, Columbia Records and Tico Records.	Male,Male
216	From 1998 to 2010, [[she]] was [[director]] of the Royal Institution of Great Britain.	Female,Female
217	According to Al Jazeera Television, and France Inter Radio, the [[singer]] kidnapped on the eve of the 20th commemoration of the genocide, prior to appearing before the press a week later, would be experiencing the consequences of the lyrics of his song Igisobanuro cy'urupfu in which the singer challenged the Commemoration Policy implemented by the Kigali government led by the Rwandan Patriotic Front - RPF of President [[Paul Kagame]].	Male,Amb
218	In "Think of Me", [[Madonna]] warns her erring [[lover]] that he should pay her attention or else she would leave.	Female,Male
219	Male [[adults]] are generally smaller.	Male
220	[[She]] is the [[author]] of 21 books on contemporary art and has received numerous awards and accolades from literary [[critics]] and art [[associations]].	Female,Female,Amb,Amb
221	He is a [[professor]] in Tianjin University.	Male
222	Islamic tradition holds that it fell from heaven as a guide for [[Adam]] and [[Eve]] to build an altar.	Male,Amb
223	"Regulation (EC) No 1830/2003 of the European [[Parliament]] and of the [[Council]] of 22 September 2003 concerning the traceability and labeling of genetically modified [[organisms]] and the traceability of food and feed products produced from genetically modified organisms and amending Directive 2001/18/EC".	Amb,Amb,Amb
224	Verses commonly cited to back up this argument include: What good is it, my [[brothers]], if [[someone]] says he has faith but does not have works?	Male,Male
225	[[Adolfo Borgognoni]] first proposed that [[Nina]] was a fictional construct of male [[poets]] in 1891 and was soon followed by [[Giulio Bertoni]].	Amb,Amb,Male,Amb
226	According to his commentary for the DVD release of the 2001 film Jay and Silent Bob Strike Back, [[Smith]] was looking for someone to play [[Missy]], one of the female diamond robbers.	Male,Female
227	On November 8, 2016, [[Smith]] signed a three-month, $1.5+ million contract with the [[Sichuan Blue Whales]] of the Chinese Basketball Association.	Amb,Amb
228	A relative [[newcomer]], he was named to Models.com's "Top 50 Male Models" for 2015 and had the second highest number of social media [[followers]] of all male [[models]] in the industry.	Male,Amb,Male
229	It also allows [[one]] to formulate a notion of a parallel section of a bundle in the direction of a vector: a section s is parallel along a vector X if ∇ X s = 0 {\displaystyle \nabla _{X}s=0} .	Amb
230	A former [[model]] and stage designer, he founded the eponymous fashion house in Florence and was acclaimed for his creations ever since his first appearance on the catwalks of Milan and Paris in 1977.	Male
231	Numerous acclaimed Swedish [[writers]] have been discovered by the publishing house of Wahlström & Widstrand, and it has also published several Nobel Prize [[winners]] such as [[Aleksandr Solzhenitsyn]], [[Gabriel García Márquez]], [[Derek Walcott]], [[Wole Soyinka]], [[Joseph Brodsky]], [[José Saramago]], [[V. S. Naipaul]] and [[Herta Müller]].	Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb,Amb
232	[[Wally]] also retained a close friendship with [[Kyle's]] predecessor, [[Hal Jordan]], who often looked out for Wally even while he was the Spectre.	Male,Amb,Amb
233	Most Starts: [[Anne-Charlotte Verney]], 10 Best Finish: [[Odette Siko]], 4th in 1932 Most female [[drivers]] in the start: 1935, with 10 Most all-woman [[teams]]: 1935, with 4 List of female Formula One [[drivers]] List of female Indy 500 drivers List of female NASCAR drivers List of female racing drivers	Amb,Amb,Female,Female,Female
234	She is the [[author]] of the book "Hollywood Garage" that relates the tumultuous career of her [[father]].	Female,Male
235	2003: honored by Her [[Majesty]] the [[Queen]] of the Netherlands with the title [[Commander]] in the Order of the Netherlands Lion.	Female,Female,Amb
236	There [[she]] worked as a gym [[teacher]] and was active in various sports including horseback riding, cycling, rowing, swimming, basketball, skiing, hockey, and skating.	Female,Female
237	According to some accounts, the [[Whites]] ordered all the captured [[Reds]] to assemble in a single row on the ice of Lake Huruslahti, selected every tenth [[prisoner]], and executed him on the spot.	Amb,Amb,Male
238	[[Quincy’s]] [[captain]] ordered his cruiser to charge towards the eastern Japanese column, but as she turned to do so Quincy was hit by two torpedoes from Tenryū, causing severe damage.	Male,Female
239	[[She]] is currently an associate [[professor]] at New York University in the Visual Art Department, and has affiliated faculty appointments in the school's Computer Science and Environmental Studies.	Female,Female
240	The [[duo]] have since led successful careers as television presenters, with hosting credits including SMTV Live, CD:UK, Friends Like These, Pop Idol, Ant & Dec's Saturday Night Takeaway, I'm a Celebrity...Get Me Out of Here!, PokerFace, Push the Button, Britain's Got Talent, Red or Black?, and Text Santa.	Amb
241	2017 - [[Recipient]] of the "Women That Soar Award" in Dallas, Texas 2018 - Inducted into the "Women in Aviation International Hall of Fame" in Reno, Nevada In 2018, the Independent Spirit Awards inaugurated the Bonnie Award, named after [[Tiburzi]], which "recognizes a mid-career female [[director]] with a $50,000 unrestricted grant sponsored by American Airlines."	Female,Female,Female
242	[[Bean's]] role in the film was originally kept to the beginning and the end of the movie, but due to studio pressure for a male [[lead]], his role was expanded into a subplot.	Male,Male
243	Either [[fighter]] lost the match and his credibility if he fell, was forced off or was knocked to the floor of the stage.	Male
244	Rather than being released under his own imprint, the album is set to be released under his legal contract with Everest Entertainment/Atlantic Records/Warner Music Group, who signed the [[rapper]] in August 2010.	Male
245	[[She]] became the oldest current [[monarch]] after King [[Abdullah]] of Saudi Arabia died on 23 January 2015.	Female,Female,Male
246	[[I]] will take that as an interesting intervention.	Amb
247	[[We]] will probably have to consider whether the conferring of powers to a special Community jurisdiction could possibly create imbalance, or give rise to what the [[Americans]] call 'forum shopping', which consists of each [[lawyer]] or [[expert]] in legal matters bringing the matter to the jurisdiction most favourable to them.	Amb,Amb,Amb,Amb
248	As Mr [[Byrne]] pointed out to [[us]] in an admirably clear intervention, there is no treaty base for it.	Male,Amb
249	Perhaps, though, this should come as no a surprise, since Mrs [[Lucas]] had nothing good to say about the UK’s approach.	Female
250	It is sad that [[we]] have had to wait until 8 March for it to be remembered that 50% of European [[citizens]] are female, and that their right to equality is being flouted throughout Europe.	Amb,Female
251	[[We]] are very pleased today to learn that [[Parliament]] has voted in favour of abolishing discrimination against [[homosexuals]] and increasing equality between [[men]] and women [[employees]] in the EU institutions by proposing concrete changes to the rules of service which are approximately 50 years old.	Amb,Amb,Amb,Male,Female
252	Mr [[Pronk]], the President-in-Office, is one of the most able and experienced Development Ministers in the history of the European Union.	Male
253	This includes not only driving time and time spent loading and unloading the vehicle, but also all the other time during which the [[worker]] is at his [[employer's]] disposal. This needs to be approached cautiously and impartially, because if [[companies]] are faced with an unreasonable definition of working time, they are in danger of becoming non-viable and possibly going bankrupt.	Male,Amb,Amb
254	So, for all these reasons, [[I]] would say that if [[you]] want to hang your [[dog]] you give him a bad name first, and I would therefore ask the House not to take account of this request for a referral.	Amb,Amb,Male
255	Prince [[Gustaf Adolf]] of Sweden	Male
256	[[Marie-Madeleine]], Comtesse de la Fayette	Female
