id	source with headwords	gender labels of headwords
31	In 1951, [[Nina]] and her two [[sons]] joined [[Giuseppe]] in Tilleur in a Red Cross Convoy.	Female,Male,Amb
32	[[He]] was really a [[victim]] of circumstance.	Male,Male
33	In the early years, almost all [[students]] seeking advanced education were male.	Male
34	To finally have our first #1 album in the U.S. is another incredible milestone for [[Black Sabbath]]."	Amb
35	In July, [[Singer]] tweeted a picture of actor [[Lucas Till]] on the set of the film, which confirmed that he was returning as Havok.	Amb,Male
36	[[Animal persons]] are repeatedly shown interacting with Goddess [[I]]. The power exercised by a deity is legitimate, and this legitimacy justifies offerings and sacrifice.	Amb,Female
37	It also extended her lead as the female [[artist]] with the third most entries on the chart, below [[Aretha Franklin]] (73) and [[Taylor Swift]] (66).	Female,Amb,Amb
38	As a part-time [[student]], she took longer than usual to complete her high school education before going on to take preparatory university courses at the University of Agder.	Female
39	On 24 October 1890 Mrs. [[Hogg]], with her [[baby]], called on [[Pearcey]] at her invitation.	Female,Amb,Amb
40	[[She]] worked as a [[judge]] from 1978 until 1992 when the Bosnian War broke out.	Female,Female
41	The [[rebels]] appear to have expected [[Robert]] to intervene with support that year, but he remained in Normandy throughout, trying to persuade the Empress [[Matilda]] to invade England herself.	Amb,Male,Female
42	The undogmatic Christian [[humanist]] talked of a tolerant, adapting view of religion which appealed to [[Penn]], who later stated, "I never had any other religion in my life than what I felt."	Amb,Amb
43	The Elite, [[Ripa 'Moramee]], was given the rank after he fought and lost a campaign against his own [[clan]].	Male,Amb
44	Some of [[them]] are even believed in down to modern times in some rural areas.	Amb
45	A [[teenager]]: norms, risks, deviations.	Amb
46	She is currently the [[host]] of Whose Line Is It Anyway?.	Female
47	The look of the [[Breen]] masks, which includes a "snout", was derived from the visual suggestion that they are a snouted species, like an Arctic [[wolf]].	Amb,Amb
48	This [[prisoner]], called the zhiban or "duty prisoner," delivers the food to the rest of his [[group]] in large bowls on a cart.	Male,Amb
49	It is later revealed that [[they]] were informed about Mister [[Negative's]] plan by Madame [[Hydra]] who wanted to get rid of the competition.	Amb,Male,Female
50	New York magazine writer [[Logan Hill]] praised [[Brandt's]] performance and said it was interesting to see an episode so focused on [[Skyler]] and [[Marie]] on a show usually dominated by the male [[characters]].	Amb,Amb,Amb,Amb,Male
51	In overcoming these matters, she was able to become a better [[person]] and help [[others]].	Female,Amb
52	As [[Walter]] had no surviving male [[children]], the Lordship of Badenoch passed to Walter's nephew [[John]].	Amb,Male,Male
53	Example: From the psychoanalytical point of view, the [[child]] in her development undergoes a number of psychosexual stages which creates a particular make up of the soul and mind, and, being a sort of psychological type.	Female
54	According to [[Smith]], the album was the third of a trilogy along with Pornography and Disintegration.	Amb
55	[[She]] plays a character named [[Lizzy Gilliam]], who is the sister of the female [[lead]] and who is unaware of her [[family's]] involvement in Central Intelligence Agency activities.	Female,Female,Female,Amb
56	It also became the second best-selling album by a female [[artist]] in the United Kingdom and her second certified diamond album in the United States.	Female
57	As a high school [[student]], he had experimented with a four-track recorder to create music from samples, inspired by sample-based music such as It Takes a Nation of Millions to Hold Us Back (1988) by American hip hop group [[Public Enemy]].	Male,Amb
58	The [[police]] release all of the [[children]] from the bag except for [[Heidi]], who is not fully ready, and tells the police she will be shortly.	Amb,Amb,Female
59	As of 2015, she is the eighth [[artist]] with most number-one albums.	Female
60	In the reunion movie, [[Gus]] is working for the War Department in Halifax, and [[Felicity]] realizes she is expecting their first [[child]].	Amb,Female,Amb
61	The additional items traditionally worn by the [[clergy]], i.e. cincture or sash is also entirely white.	Amb
62	In the wake of the war, [[Valentine]] informs [[him]] that he would never be allowed to return to Earth due to her own actions in an effort to protect him from [[Peter]], who was becoming a major political force on Earth.	Female,Male,Amb
63	Hereditary peerages are now normally given only to [[members]] of the Royal [[Family]].	Amb,Amb
64	The return of the super technology known as "sacred treasures" could revolutionize the world order, but [[no one]] knows of them but one [[person]]—a "heretical [[girl]]."	Amb,Female,Female
65	The reality TV show [[star]] revealed that her [[mother]] never named her.	Female,Female
66	"[[Chris Brown]] Announces Fall Tour Dates".	Amb
67	He is currently an independent [[artist]] residing in New York City.	Male
68	The companion book published by Prima Lifestyles prior to the film's release said in his [[character]] profile: "A strapping Australian talented in all forms of martial arts, he's particularly skilled with a knife.	Male
69	According to [[Duff]], her mother, [[Recke]] and Duff herself worked very hard to get music that she related to and was age-appropriate for her.	Female,Female
70	Following this, the [[artist]] experienced a period during which she struggled to find motivation to make music.	Female
71	One of [[them]] could thus be [[Renseneb's]] [[father]], or (older) [[brothers]] in succession.	Male,Amb,Male,Male
72	[[El Al]] said that it would not put a policy in place to handle situations where male [[Haredim]] refuse to sit next to female [[passengers]], but would instead attempt to satisfy passengers involved in such incidents on a case by case basis.	Amb,Male,Female
73	With support from [[Fernando Colomo]], [[she]] made her first feature film as [[director]]: Hola, ¿estás sola?	Amb,Female,Female
74	However, internal WJC documents seemed to suggest that a friction had developed between [[Singer]] and [[Bronfman]] over Singer's position on various internal WJC political matters, including the perception that he was insufficiently advocating the candidacy of [[Edgar Bronfman's]] son [[Matthew]] to the presidency of the WJC.	Male,Male,Amb,Male
75	In [[Selbit's]] version a female [[assistant]] got into a wooden box that was similar in proportion to a coffin but slightly larger.	Amb,Female
76	In addition to his professional football career, [[Mulder]] also worked as a sports commentator for NOS TV.	Male
77	These two have major and minor [[workers]], while [[Aphaenogaster]] has only a single worker caste.	Amb,Amb
78	In an attempt to heal the rift, [[Anne]] invited the [[King]] and [[Queen]] to see Gloucester drill the "Horse [[Guards]]".	Amb,Male,Female,Amb
79	An [[acquaintance]] purportedly said, "he guessed [[Bob]] would not do better than he had."	Amb,Male
80	Since [[he]] had no male [[offspring]], his inheritance passed to his [[brother]].	Male,Male,Male
81	Even though the [[professor]] is mortally wounded by [[aliens]], he, in his last moments, sends [[Enforcer]] through a teleport right to the mothership.	Male,Amb,Amb
82	In some cases, townships run local libraries, senior [[citizen]] services, [[youth]] services, disabled [[citizen]] services, emergency assistance, and even cemetery services.	Amb,Amb,Amb
83	For instance, pluralistic ignorance may lead a [[student]] to drink alcohol excessively because she believes that [[everyone]] else does that, while in reality everyone else also wishes they could avoid binge drinking, but [[no one]] expresses that due to the fear of being ostracized.	Female,Amb,Amb
84	[[John Barrowman]] describes the [[character]] in his initial appearance as "an intergalactic conman" and also a "rogue Time Agent" which he defines as "part of a kind of space CIA" and alludes to the moral ambiguity of having "done something in his past" and not knowing "whether it is good or bad because his memory has been erased".	Male,Male
85	Muhawalah raqm 7 (Attempt number 7), 1974 Tilka suratuha wa-hadha intihar al-ashiq (That's her image, and that's the suicide of her [[lover]]), 1975 Ahmad al-za'tar, 1976 A'ras (Weddings), 1977 al-Nasheed al-jasadi (The bodily anthem), 1980.	Amb
86	The [[character]] is still hopelessly in love with the zombified [[Scarlet Witch]].	Amb,Female
87	[[Laffer]] asked his [[secretary]] if she knew about the games and she told him that she had played them for years, but never made a connection.	Male,Female
88	After enjoying a high-profile upon his professional debut, [[Tucker]] spent the majority of the 1980s boxing in off-TV bouts.	Male
89	The disc included selected songs from the concert, along with a documentary showing the [[performer]] preparing for the show, her song writing process and her ideas about social responsibility.	Female
90	Her [[mother]] worked 80 hours per week as a beautician to support herself and her [[daughter]], and [[Turner]] recalled sometimes "living on crackers and milk for half a week".	Female,Female,Female
91	[[She-Hulk]] also made occasional guest appearances in The Incredible Hulk.	Female
92	In contrast, [[Roger Ebert]] in his 1997 review of the Special Edition re-release of The Empire Strikes Back declared that the [[character]] gave the worst performance of the film: "This character was thrown into the first film as window dressing, was never thought through, and as a result has been saddled with one facial expression and one mournful yelp.	Male,Amb
93	To create such methods, the [[scientist]] synthesized the total mellitic acid anhydride, which was found to form orange-red crystals with naphthalene, dark blue with anthracene, brown-red with phenanthrene, and light brown with veratrole.	Amb
94	The game chose not to include any online multiplayer feature because the [[developer]] hoped [[players]] could focus on their own cities, and have full control of them.	Amb,Amb
95	Since the beginning of 1918 worked in Petrograd as the [[secretary]] of the visa departament of RSFSR Narkomindel, later became a politcommissar of the second battalion of the 1st Red Latvian Riflemen regiment.	Amb
96	On March 22, [[Black]] appeared on The Tonight Show with [[Jay Leno]], during which she performed the song and discussed the negative reaction to it.	Female,Amb
97	The nickname "Billy" came by way of an American [[friend]] who thought [[Meier's]] cowboy style of dress reminded her of "Billy the Kid."	Female,Amb
98	She is a very optimistic [[person]].	Female
99	At the beginning of the video, [[we]] see a blind woman, [[Farmer]], wearing a pink dress, with a Bible in her hand.	Amb,Female
100	The main goal of the conference was to make [[lesbians]] visible, combat lesbophobia and to promote solidarity networks.	Female
101	[[Casanova]] valued intelligence in a [[woman]]: "After all, a beautiful woman without a mind of her own leaves her [[lover]] with no resource after he had physically enjoyed her charms."	Amb,Female,Male
102	In the 1990s, there were several female Peace Corps [[officers]] raped and murdered in Gabon, stirring controversy over the safety of its locations.	Female
103	After the failure of [[Laurent Boutonnat's]] film Giorgino in 1993, in which she played, [[Farmer]] decided to move to Los Angeles, willing to return to anonymity.	Amb,Female
104	In late 2001, [[Fox]] suffered from facial nerve paralysis that was not treated quickly enough because of a false diagnosis.	Amb
105	[[Remini]] has a brother, [[Michael]], an older sister named [[Nicole]] and four half-sisters: [[Christine]], [[Stephanie]], who died of cancer in 2013, [[Elizabeth]], and [[Shannon]].	Amb,Male,Female,Female,Female,Female,Female
106	[[He]] played a "troubled [[teen]] who is faced with a difficult decision regarding his only [[brother]]", who is also a serial bomber.	Male,Male,Male
107	On 9 January 2018 [[Oyub Titiev]] left Kurchaloi, traveling towards Mairtup, Chechnya, where he was supposed to meet a [[friend]] at 9:00 am.	Male,Amb
108	In 2010 reports came out from Nakhodka indicating that North Korean [[workers]] and [[traders]] there had been evacuated back to their home country due to rising military tensions with South Korea.	Amb,Amb
109	The painting shows an elegant [[mistress]] and her [[maid]] as they look over a love letter that the mistress just received.	Female,Female
110	Soviet [[officials]] recruited [[students]] and [[bureaucrats]] for all manner of training, and invited the country’s [[elite]] and its officer-, civil-service and intellectual [[classes]] to long periods of study in the Soviet Union.	Amb,Amb,Amb,Amb,Amb
111	In this poll the experimental chemist [[Otto Hahn]] – after the theoretical physicists [[Albert Einstein]] and [[Max Planck]] – was elected third (with 81 points), and thus the most significant empiric researcher of his time.	Male,Amb,Amb
112	Script Debugger is a more advanced AppleScript environment that allows the script [[writer]] to debug AppleScripts via single stepping, breakpoints, stepping in and out of functions/subroutines, variable tracking, etc. Script Debugger also contains an advanced dictionary browser that allows the [[user]] to see the dictionary in action in real world situations.	Amb,Amb
113	The town [[mayor]] denies the [[birds']] role in the injuries, but is forced to believe after further incidents of violence by the birds.	Amb,Amb
114	She is currently the [[President]] and CEO of Barbara Franklin Enterprises, a private international consulting [[firm]].	Female,Amb
115	Social systems are determined by technological systems, wrote [[White]] in his book, echoing the earlier theory of [[Lewis Henry Morgan]].	Male,Amb
116	[[Williams]] and label executive [[Mike Curb]] would be in and out of court for the next year before a [[judge]] ruled in favor of Williams in the spring of 2005, demanding that Curb release the album.	Amb,Amb,Amb
117	Although its only sexual reference consists of the words “she kissed [[her]] full on the lips, as a [[lover]]” and "and that night, they were not divided", a British [[court]] judged it obscene because it defended "unnatural practices between [[women]]".	Female,Female,Amb,Female
118	Soon after her birth on 9 April 1054, [[Judith]] was betrothed to the Capetian prince [[Philip]], eldest son and heir of King [[Henry I]] of France.	Female,Male,Male
119	One path leads to [[Butler]] fighting his [[therapist]] during a session, after which it is revealed that he is in a movie set and that his "[[dad]]" is a fellow actor.	Male,Amb,Male
120	A wealthy [[lawyer]] in Lincolnshire prior to his departure for the New World in 1634, he was a liberal political opponent of the moderate [[John Winthrop]], arguing for expansive views on suffrage and lawmaking, but also religiously somewhat conservative, opposing (at times quite harshly) the efforts of [[Quakers]] and [[Baptists]] to settle in the colony.	Male,Amb,Amb,Amb
121	Support for the [[infantry]] is provided by an armoured [[regiment]], five reconnaissance [[regiments]], three mechanized infantry regiments, five field artillery regiments, a rocket artillery regiment, three commando regiments, three special forces regiments, six field engineering [[regiments]], five signals [[battalions]], a medical [[corps]], and a variety of logistics [[units]].	Amb,Amb,Amb,Amb,Amb,Amb,Amb
122	[[Green]] died of blood poisoning at 45.	Amb
123	He is a playable [[character]] in Crash Team Racing, Crash Nitro Kart and Crash Boom Bang!.	Male
124	[[Randall]] appears in The Sex Factor where she performs photoshoots for the female [[contestants]], and eventually for the [[winner]] of episode 2.	Female,Female,Female
125	[[She]] had very few [[patients]], a situation she attributed to the stigma of women [[doctors]] as abortionists.	Female,Amb,Female
126	After playing a role in [[Toffee's]] demise, [[Ludo]] convinces [[Star]] to send him back into a void for more soul-searching.	Male,Amb,Male
127	The [[beggar]] would curse the pregnant [[noblewoman]], and come the birth of the [[child]] it would be a girl, healthy and perfectly formed in every respect other than having the face of a [[pig]].	Amb,Female,Female,Amb
128	On 22 October 2008, it was reported that French [[police]] investigating the case managed to find the previous [[owner]], who gave a statement that he broke a mercury barometer in the car shortly before selling it to Moskalenko.	Amb,Male
129	In absence of specialized make-up [[artist]] professions, [[Chaney's]] make-up artistry skills gave him a competitive advantage over other [[actors]].	Amb,Male,Amb
130	Another story, now considered apocryphal, had it that a Maasai [[chief]] in Kenya offered 150 [[cows]], 200 [[goats]], [[sheep]], and $750 for her hand in marriage.	Female,Female,Amb,Amb
131	Abenra, Denmark Russian [[Artist]].	Amb
132	[[Henry Ford]] is reported to have said, "Any [[customer]] can have a car painted any color that he wants so long as it is black."	Amb,Male
133	In 2006, Diablo was licensed to the UK top 3 chart hit "Exceeder" by [[Mason]].	Amb
134	[[He]] practiced law at his [[uncle's]] office for ten years.	Male,Male
135	[[Yamato]] somehow looks like a [[cat]].	Amb,Amb
136	As long as [[Rachel]] was alive, say these [[commentators]], [[Jacob]] kept his bed in her tent and visited the other [[wives]] in theirs.	Female,Amb,Male,Female
137	The [[winner]] is the one who loses all his cards first.	Male
138	When [[Harrison]] was 20, he started playing professionally, around the tables in a Greek restaurant in London.	Male
139	A [[performer]] of stand-up comedy, he is also known for his sketch performances on his television reality show, The Jamie Kennedy Experiment, which became the WB Network's highest-ranking new show in 2002, but which was cancelled in April 2004 due to falling viewership.	Male
140	As an example of "sheer sloppiness", [[Kelly]] cited [[Chang's]] sentence, "Another rape [[victim]] was found with a golf stick rammed into her", and noted that "(while) [[golfers]] do colloquially refer to their clubs as 'sticks'", the terms "golf club" or "the shaft of a golf club" should have been used.	Amb,Amb,Female,Amb
141	In 2014, [[Mercado]] featured in her first campaign, for [[designer]] denim brand Diesel, which she was selected by [[Nicola Formichetti]].	Female,Amb,Amb
142	His mannerisms on camera were so awkward that some [[viewers]] believed the [[host]] suffered from Bell's palsy.	Amb,Male
143	This scrupulous approach was not to the liking of his [[lieutenants]], and in the summer of 1716 a vote was taken among the combined [[crews]] to attack any vessel they chose.	Amb,Amb
144	[[Thanos]], wielding the Infinity Gauntlet, ranked the [[Celestials]] as being on roughly the same scale of power as [[Galactus]], the [[Stranger]], [[Odin]], and [[Zeus]], but below that of Mistress [[Love]], [[Lord Chaos]], and Master [[Order]].	Amb,Amb,Amb,Amb,Male,Male,Female,Male,Amb
145	"[[Thousands]] protest in Russia against proposed retirement age rise".	Amb
146	In January 2015, [[Fox]] developed a rivalry with [[Naomi]], during which she formed a brief alliance with [[The Miz]] and [[Damien Mizdow]], and the trio went on to defeat Naomi and The [[Usos]] in a series of mixed tag team matches.	Female,Amb,Amb,Amb,Amb
147	The title is prefixed to the given name, and is borne by female Bhutanese [[nobility]] and by female [[members]] of the Bhutanese royal [[family]].	Female,Female,Amb
148	This was disclosed when [[Augustus]], during a serious illness, handed over his seal ring to [[Agrippa]].	Male,Amb
149	From 1998 to 2010, [[she]] was [[director]] of the Royal Institution of Great Britain.	Female,Female
150	It is a [[member]] of the nicotinamide-nucleotide adenylyltransferases.	Amb
151	On the advice of her [[teacher]] [[Sister]] participated in the chemistry enrichment program for school [[children]] that was carried out by Professor [[Anton Ablov]] at the University of Kishinev.	Amb,Female,Amb,Amb
152	The new [[party]] set up newspapers that made withering critiques of Hamiltonianism, extolled the yeoman [[farmer]], argued for strict construction of the Constitution, favored the French Revolution, strongly opposed the United Kingdom and called for stronger state [[governments]] than the Federalist Party was proposing.	Amb,Male,Amb
153	[[Benedicta]] was the daughter of Princess [[Helen]] and [[Sune Folkesson]] and thereby sister of Queen [[Catherine]] of Sweden.	Female,Female,Amb,Female
154	Following King [[Michael's]] abdication, the line of succession was discussed during a meeting between Michael, his uncle Prince [[Nicholas]] of Romania, and [[Frederick]], Prince of Hohenzollern (1891–1965).	Male,Male,Male
155	[[Daddy]] is Coming!	Male
156	"Their [[characters]] are so awesomely convincing and sincere and wild and funny, [[I]] had to remind myself constantly of the sincerity of the humor," she explained.	Amb,Female
157	[[She]] was a student of the University of Salerno and belonged to the minority of female [[students]] of her time period.	Female,Female
158	[[Lohan]] attended Cold Spring Harbor High School and Sanford H. Calhoun High School, where she did well in science and mathematics, until grade 11, when she started homeschooling.	Female
159	Despite the fact that he was neither a very good student nor an exceptional basketball player (averaging only 5 minutes per game for his club [[team]]), [[Kavaliauskas's]] height (2.08 m (6 ft 10 in)) brought him to the attention of a [[scout]], who recommended him to the [[coach]] of the basketball [[team]] at Barton County Community College in Great Bend, Kansas, United States.	Amb,Male,Amb,Amb,Amb
160	New World [[Alliance]].	Amb
161	Once again, [[we]] see the imagery of the marriage: "I, [[John]], saw the holy city, New Jerusalem, coming down from God out of heaven, prepared as a [[bride]] adorned for her [[husband]]."	Amb,Amb,Female,Male
162	The [[Spanish]] helped the [[Totonacs]] expel Aztec tribute [[collectors]] and to seize control of some Aztec outposts.	Amb,Amb,Amb
163	The year would be the first since 1965 not to see a new studio album featuring the prolific [[artist]].	Amb
164	By 2300 hours, the entire eastern part of the city from the seashore to Pushkinska Street (the area where the prosperous [[classes]] lived) was under the control of the [[rebels]], who continued to clear the city of the [[Reds]], moving into the working class areas - Moldavanka, Slobodka, Peresyp.	Amb,Amb,Amb
165	Commonly, every [[child]] has his sorcova.	Male
166	The Academy of Public Administration publishes "Research Papers of the Academy of Public Administration under the aegis of the [[President]] of the Republic of Belarus", the journal Problems of Management.	Amb
167	"Last year [[I]] began working on a song about a different kind of love," she said.	Female
168	As a [[child]] she was pretty well-off.	Female
169	This standard for [[baby]] monitors includes requirements for audio, video, and motion sensor monitors.	Amb
170	[[Fuller]] chose aluminium for its light weight, great strength, and long-term durability, arguably factors that compensate for the initial production cost.	Amb
171	For the most part, the position grants little extra power to [[Vice-Presidents]], except the first [[Vice]]-[[President]] who stands in for the [[President]] when he is away.	Amb,Amb,Amb,Male
172	She has been a [[member]] of the Bundestag since 1998.	Female
173	At the 2002 Winter Olympics, [[she]], along with driver [[Jill Bakken]], won the gold medal in the two-woman event, becoming the first black [[person]] to win a gold medal in the Winter Olympics.	Female,Female,Female
174	In 1432, the Protector of the Council, Duke [[William III]] of Bavaria appointed [[William of Hachberg]] as acting head.	Male,Amb
175	As a patriotic [[citizen]], he takes [[them]] and sends them anonymously to MI5.	Male,Amb
176	According to [[Verdonk]], [[Hirsi]] [[Ali]] had presented [[her]] with new convincing evidence related to her use of her [[grandfather's]] surname, and the false date of birth was insufficient grounds to cancel her passport.	Amb,Female,Amb,Female,Male
177	In the pilot episode of Army Wives, "A Tribe is Born", [[Roxy]] (Sally Pressman) accepts the marriage proposal of Private First Class [[Trevor LeBlanc]] (Drew Fuller) after dating for less than a week, and moves with her two [[children]] to his Army post.	Female,Male,Amb
178	The [[director]] wanted to do both, and the studio refused.	Amb
179	Her final film appearance was a cameo as an [[angel]] in [[Steven Spielberg's]] Always (1989).	Female,Amb
180	Tibbers Castle lands were granted 23 August 1369 to [[john Mautaland of Thirlestane]] by the [[Earl]] of March, whose sister [[Agnes]] he married at about that time.	Male,Male,Female
181	It's hard for [[me]] to think of a [[person]] as being mean or brainwashing [[people]] with the sense of humor he has.	Amb,Male,Amb
182	[[Fafara]] has three sons: [[Tyler]], [[Simon]] and [[Kaleb]].	Amb,Male,Male,Male
183	In addition to his production work for [[Winwood's]] band [[Traffic]], [[Miller]] also contributed the lyrics to the Traffic song "Medicated Goo,".	Amb,Amb,Male
184	The next day in class [[she]] publicly asks [[Emily]] if she caused the accident.	Female,Female
185	[[Doran]] later returned to work at Newsarama, while [[Brady]] continued working as primary writer for the site.	Amb,Amb
186	[[Seamus]] introduces [[Jack]] to his wife [[Mary]] ([[Zoë Wanamaker]]) and his son, [[Mickey]] [[(Daniel Betts]]), and shows him the mystical world of the [[leprechauns]].	Male,Male,Female,Female,Male,Male,Amb
187	150) the [[author]] exhorts his [[audience]] to pursue righteousness and abstain from vices: Let us, then, not only call Him Lord, for that will not save us.	Male,Amb
188	"Stay with Me" received nominations at the MTV Video Music Awards for Best Male Video and [[Artist]] to Watch.	Amb
189	Why should [[we]] let [[you]] out on parole?" to which [[she]] had to respond.	Amb,Female,Female
190	[[Paula]] decides that she will call [[Marge]] live during her upcoming show to wish her a happy birthday.	Female,Female
191	[[She]] was not one [[anyone]] ever would have thought of to do something like this."	Female,Amb
192	[[She]] feels that [[people]] are often jealous of her, mainly her female [[friends]].	Female,Amb,Female
193	On October 7, 2006, [[Smith]] became the fourth former Miss Tennessee Teen USA to win the Miss Tennessee USA title, following [[Molly Brown]] who held the 1984 teen and 1987 Miss titles, [[Lynnette Cole]] who held the 1995 teen and 2000 Miss titles and won Miss USA 2000 and [[Allison Alderson]], who held the 1994 teen title and 2002 Miss title.	Female,Female,Female,Female
194	Counting continued until early morning, as the numbers were too close for a [[winner]] to be declared.	Amb
195	[[He]] was the best program [[judge]] in the business."	Male,Male
196	Уимблдонский турнир 2011 в парном разряде среди [[девушек]]	Female
197	[[Мужской]] баскетбольный турнир первого дивизиона NCAA	Male
198	[[I]] am glad to see she is only a human [[child]]."	Amb,Female
199	Entering the supermarket, the cheerful [[four]] arrange another extravagant show.	Amb
200	This was his first role as an [[adult]].	Male
201	Throughout her life, [[Vianne]] has been running from the "Black [[Man]]", a recurring motif in her [[mother's]] folklore.	Female,Male,Female
202	[[Stopia]] (as was still common in Sweden at the time, she would not have used the name of her [[spouse]]), accompanied [[him]] to his office in Moscow.	Female,Male,Male
203	[[She's]] not so much an [[actor]] as a vessel for earnest reactions.	Female,Female
204	Shortly after the search, [[Perry]] moved his [[children]] to the Chicago area.	Male,Amb
205	It symbolises how political [[prisoners]] were affected by Communism.	Amb
206	A Germanic name is composed of two parts, the latter of which also indicates the gender of the [[person]].	Amb
207	Her appearance in Avengers #233 (July 1983) was drawn by [[John Byrne]], who would later become strongly associated with the [[character]].	Amb,Female
208	During debates, the first [[senator]] to rise is entitled to make the next speech.	Amb
209	Since 2005, [[she]] is an [[instructor]] at the Rostov School of Arts No. 1 (drawing, painting, composition).	Female,Female
210	[[She]] is a temporary [[owner]] of [[Molly]], and has a romantic connection to [[Danny Wexler]].	Female,Female,Amb,Amb
211	Also known as the Starchild, [[Stanley]] can shoot a laser from the star on his right eye.	Male
212	[[Pitbull]] bilingually shouts out [[Trick]] and [[Luke]] (of 2 Live Crew).	Amb,Amb,Amb
213	[[I]] jump-started the computer and made some beats on the train.	Amb
214	During this period, [[Jones]] preached to new [[members]] that the Holy Spirit was within them, but that Jones's healing power demonstrated that he was a special manifestation of "[[Christ]] the Revolution."	Male,Amb,Male
215	[[Desmond]] was a visionary guy and knew if the [[vocalist]] is in good form, then he'll get what he wants from them".	Male,Amb
216	"[[One]] would like to think [[you]] are mistaken about the wonders of your work, but [[I]] didn't believe it," he said.	Amb,Amb,Male
217	As a [[teenager]], [[she]] wrote lyrics as an outlet for her feelings, and her [[mother]] commented, "Her initial writings were always very introspective.	Female,Female,Female
218	In issue #32 (Sept. 1948), [[Sun Girl]] helps the Torch clear the name of an innocent [[man]] accused of murder charges, by exposing the real [[culprit]].	Female,Male,Amb
219	[[He]] had an older sister, [[Catherine]] (May 28, 1931 – February 2, 2000), and a younger brother, [[Stephen]].	Male,Female,Male
220	[[She]] gave birth to their first [[child]], a girl, on 16 April 1470, in a ship off Calais.	Female,Female
221	As a [[child]] she appeared in commercials for Medolino and Frutolino, brands of [[baby]] food manufactured by Croatian [[company]] Podravka.	Female,Amb,Amb
222	[[Ringer]] collaborated with copyright [[attorneys]], [[academics]], [[librarians]], [[content creators]], and [[members]] of the judiciary to draft the Copyright Reform Act of 1993, but it was not enacted.	Amb,Amb,Amb,Amb,Amb,Amb
